canonical_name,alias_name
Sawyer Poncho Neruda,
Sawyer Poncho Neruda,Neruda
Sawyer Poncho Neruda,Poncho Neruda
Sawyer Poncho Neruda,Mr. Poncho Neruda
Mr. Enoch J. Whyte,
Mr. Enoch J. Whyte,Whyte
Mr. Enoch J. Whyte,Mr. Whyte
Mr. Enoch J. Whyte,Enoch Whyte
Mr. Enoch J. Whyte,Mr. Enoch Whyte
Mr. Enoch J. Whyte,Enoch J. Whyte
John H. WATSON,
John H. WATSON,Watson
Mr. Sherlock Brigham,
Mr. Sherlock Brigham,Brigham
Mr. Sherlock Brigham,Mr. Brigham
Mr. Sherlock Brigham,Sherlock Brigham
Charpentier Keswick,
Charpentier Keswick,Keswick
Boccaccio Johnston,
Mr. Joseph Brigham,
Mr. Joseph Brigham,Joseph Brigham
Mr. Joseph Tobias,
Mr. Joseph Tobias,Tobias
Mr. Joseph Tobias,JOSEPH TOBIAS
Mr. Joseph Tobias,Joseph Tobias
Jefferson Murray,
Jefferson Murray,MURRAY
Jefferson Murray,Murray
Jefferson Murray,Mr. Murray
Carlyle William,
Carlyle William,William
Dolsky Lestrade,
Murcher Ferrier,
Murcher Ferrier,Ferrier
Murcher Ferrier,Mrs. Ferrier
Sherlock Samson,
Sawyer Ferrier,
Darwin William,
Brigham Sawyer,
Brigham Sawyer,Sawyer
Carlyle Arthur,
Carlyle Arthur,Arthur
Carlyle Arthur,Dr. Arthur
Carlyle Arthur,Doctor Arthur
Joseph HOLMES,
Joseph HOLMES,Holmes
Carlyle Alice,
Carlyle Enoch,
Carlyle Enoch,Enoch
Sawyer Thomas,
Sawyer Thomas,Thomas
Tobias Murray,
Dennis Doyle,
Lecoq Sally,
Rache Smith,
J. H.,
Brother Brigham,
Mrs. Drebber,
Mrs. Drebber,Drebber
Miss Lefevre,
Miss Lefevre,Lefevre
Mr. Wiggins,
Mr. Norman,
Mr. Norman,NORMAN
Mr. Norman,Norman
Stangerson,
Gaboriau,
Murcher,
Gregson,
Malthus,
Rachel,
Darwin,
Darwin,DARWIN
Bender,
Poncho,
Indian,
Johnny,
Rance,
Dupin,
Harry,
Heber,
Hones,
John,
Lucy,
Von,
Bob,
Co,
a,
stamford,
jove,
bischoff,
mason,
mendelssohn,
euclid,
poe,
van,
jansen,
barraud,
e,
square,
halle,
chopin,
charles,
tom,
vehmgericht,
carbonari,
underwood,
young,
hope,
pete,
kemball,
cowper,
leturier,
