char_id,name,story_title
1,Taika,A Study in Scarlet
2,HOLMES,A Study in Scarlet
3,Sutherland Kauffman,A Study in Scarlet
4,Beckinsale Beckham,A Study in Scarlet
5,Cummings,A Study in Scarlet
6,WATSON,A Study in Scarlet
7,Harris,A Study in Scarlet
8,Ledger,A Study in Scarlet
9,Adler,A Study in Scarlet
10,Hawke Ledger,A Study in Scarlet
11,Taika Mendes,A Study in Scarlet
12,Mendes,A Study in Scarlet
13,Dr. Cummings,A Study in Scarlet
14,Mr. Taika Mendes,A Study in Scarlet
15,Atkinson Mckellen,A Study in Scarlet
16,Gadot,A Study in Scarlet
17,Muller,A Study in Scarlet
18,Moore,A Study in Scarlet
19,Diaz,A Study in Scarlet
20,I,A Study in Scarlet
21,Harrelson Jackman,A Study in Scarlet
22,Mr. Campbell,A Study in Scarlet
23,Caine,A Study in Scarlet
24,Campbell,A Study in Scarlet
25,Edgar Allen Burnett,A Study in Scarlet
26,Palmer,A Study in Scarlet
27,Burnett,A Study in Scarlet
28,Dookie,A Study in Scarlet
29,Brag,A Study in Scarlet
30,my friend,A Study in Scarlet
31,my lad,A Study in Scarlet
32,u,A Study in Scarlet
33,he,A Study in Scarlet
34,Beckham,A Study in Scarlet
35,Walken,A Study in Scarlet
36,Paltrow Ruffalo,A Study in Scarlet
37,O'hara,A Study in Scarlet
38,Rapp,A Study in Scarlet
39,Miss Rapp,A Study in Scarlet
40,Doctor,A Study in Scarlet
41,Scott Bergman,A Study in Scarlet
42,Audley Court,A Study in Scarlet
43,Kauffman,A Study in Scarlet
44,Norton Gable,A Study in Scarlet
45,Gable,A Study in Scarlet
46,Neeson,A Study in Scarlet
47,R V,A Study in Scarlet
48,Enoch J. Jordan,A Study in Scarlet
49,Cooper,A Study in Scarlet
50,Nature,A Study in Scarlet
51,Day,A Study in Scarlet
52,Pryor,A Study in Scarlet
53,Tom Pryor,A Study in Scarlet
54,Mrs. Day,A Study in Scarlet
55,Scotland Yarders,A Study in Scarlet
56,Sheen,A Study in Scarlet
57,Marchioness de Brinvilliers,A Study in Scarlet
58,Darwinian theory,A Study in Scarlet
59,Bening,A Study in Scarlet
60,Ratcliff Highway murders,A Study in Scarlet
61,Mr. Joseph Eastwood,A Study in Scarlet
62,Madame Mccarthy,A Study in Scarlet
63,Mr. Jordan,A Study in Scarlet
64,Mr. Beckham,A Study in Scarlet
65,Eastwood,A Study in Scarlet
66,Teller,A Study in Scarlet
67,Oldman Mccarthy,A Study in Scarlet
68,Sutherland Pattinson,A Study in Scarlet
69,Jordan,A Study in Scarlet
70,Madame M,A Study in Scarlet
71,Mr. Enoch J. Jordan,A Study in Scarlet
72,Mr. Eastwood,A Study in Scarlet
73,Oldman,A Study in Scarlet
74,Knopfler,A Study in Scarlet
75,Mrs. Mccarthy,A Study in Scarlet
76,Lieutenant Mccarthy,A Study in Scarlet
77,Mr. Blythe Eastwood,A Study in Scarlet
78,Euston Station,A Study in Scarlet
79,Brixton Road,A Study in Scarlet
80,Liverpool,A Study in Scarlet
81,Halliday's Private Hotel,A Study in Scarlet
82,Little George Street,A Study in Scarlet
83,Blythe Eastwood,A Study in Scarlet
84,Hawke Mccarthy,A Study in Scarlet
85,Dehaan Reynolds,A Study in Scarlet
86,Mother,A Study in Scarlet
87,Auntie,A Study in Scarlet
88,Hudson,A Study in Scarlet
89,Lewis,A Study in Scarlet
90,Quaid,A Study in Scarlet
91,McGregor,A Study in Scarlet
92,Williams,A Study in Scarlet
93,God,A Study in Scarlet
94,the little prattling child,A Study in Scarlet
95,"the reckless, hardened adventurer",A Study in Scarlet
96,her chubby face,A Study in Scarlet
97,"his haggard, angular visage",A Study in Scarlet
98,the two wanderers,A Study in Scarlet
99,Sierra Blanco,A Study in Scarlet
100,Rio Grande,A Study in Scarlet
101,Brother Eastwood,A Study in Scarlet
102,Elder,A Study in Scarlet
103,Sutherland Penn,A Study in Scarlet
104,Kutcher Penn,A Study in Scarlet
105,Blythe Efron,A Study in Scarlet
106,Penn,A Study in Scarlet
107,Brigham Hawke,A Study in Scarlet
108,Hawke,A Study in Scarlet
109,Elder Eastwood,A Study in Scarlet
110,Aniston,A Study in Scarlet
111,Jagger,A Study in Scarlet
112,Devine,A Study in Scarlet
113,Dehaan Hopes,A Study in Scarlet
114,St. Louis,A Study in Scarlet
115,Hawke Dehaan Reynolds,A Study in Scarlet
116,Kutcher,A Study in Scarlet
117,the man who held out against the Church,A Study in Scarlet
118,Heber C. Aniston,A Study in Scarlet
119,the Prophet,A Study in Scarlet
120,Elder Jorda,A Study in Scarlet
121,Elder Jordan,A Study in Scarlet
122,Dehaan,A Study in Scarlet
123,Winslet,A Study in Scarlet
124,Reynolds,A Study in Scarlet
125,Sutherland Cummings,A Study in Scarlet
126,Inspector,A Study in Scarlet
127,my two gentlemen,A Study in Scarlet
128,Secretary,A Study in Scarlet
129,Halliday,A Study in Scarlet
130,Enoch Jordan,A Study in Scarlet
131,you,A Study in Scarlet
132,the others,A Study in Scarlet
133,the constables,A Study in Scarlet
134,the two men,A Study in Scarlet
135,Barbra,A Study in Scarlet
136,Burrows,A Study in Scarlet
137,Mr. Enoch Jordan,A Study in Scarlet
138,Roman miser,A Study in Scarlet
