node,is_victim,pagerank,victim_connection_weight,degree,strength
Alice,0,0.0031911629434836684,0,1,1.0
Arthur,0,0.005347827119149932,0,3,3.0
Bender,0,0.009851657031645544,0,2,2.0
Bob,0,0.0031911629434836684,0,1,1.0
Brigham Young,0,0.0356774434266096,9,14,39.0
Brother Drebber,0,0.003954986988313631,2,1,2.0
Brother Stangerson,0,0.005463130578671926,4,1,4.0
Cowper,0,0.0040013735060149555,0,1,2.0
Dolsky,0,0.015873015873015872,0,1,1.0
Dr. Watson,0,0.0040013735060149555,0,1,2.0
Dupin,0,0.0055498252179273025,0,2,2.0
Enoch J. Drebber,1,0.04814621400885505,20,10,52.0
Harry Murcher,0,0.0040013735060149555,0,1,2.0
Hones,0,0.015873015873015872,0,1,1.0
Jefferson,0,0.043217682457246394,3,8,63.0
Jefferson Hope,0,0.04917061916449224,3,9,71.0
John Ferrier,0,0.027083847710853044,1,7,39.0
John Rance,0,0.0064040161703335,0,2,5.0
John Underwood,0,0.0031631739202083505,0,1,1.0
Johnston,0,0.006658145219383003,2,5,5.0
Joseph Smith,0,0.003158509318021235,0,1,1.0
Kemball,0,0.006658145219383003,2,5,5.0
Keswick,0,0.005925990204494908,0,3,3.0
Lecoq,0,0.0040013735060149555,0,1,2.0
Lefevre,0,0.015873015873015872,0,2,2.0
Leturier,0,0.015873015873015872,0,1,1.0
Lucy,0,0.02309808233979302,1,7,32.0
Lucy Ferrier,0,0.04924999090847421,2,7,71.0
Mason,0,0.015873015873015872,0,2,2.0
Mr. Joseph Stangerson,1,0.041702395668456,20,13,46.0
Mr. Lestrade,0,0.03280375215447963,2,7,35.0
Mr. Sherlock Holmes,0,0.03681088021427753,0,7,40.0
Mrs. Charpentier,0,0.006282420743928947,1,4,4.0
Murray,0,0.0031911629434836684,0,1,1.0
Norman Neruda,0,0.015873015873015872,0,1,1.0
Poe,0,0.0055498252179273025,0,2,2.0
Poncho,0,0.0031911629434836684,0,1,1.0
Rache,0,0.006307655466969577,0,3,4.0
Rachel,0,0.005328177412005572,0,3,3.0
Sally,0,0.0040013735060149555,0,1,2.0
Samson,0,0.015873015873015872,0,2,2.0
Sawyer,0,0.009319694596399593,0,3,6.0
Stamford,0,0.009579551169533781,0,3,9.0
Tobias Gregson,0,0.026101197805709443,0,6,27.0
Tom Dennis,0,0.008320949063822827,0,3,5.0
Wiggins,0,0.003968719880552522,0,2,2.0
a,0,0.18683007062969276,24,40,196.0
boccaccio,0,0.0031514969303822675,1,1,1.0
carbonari,0,0.006778092095346263,0,3,3.0
co,0,0.003999287108016914,0,2,2.0
doyle,0,0.0031911629434836684,0,1,1.0
e,0,0.008129075748971707,1,2,2.0
euclid,0,0.005835562104210949,0,1,1.0
h,0,0.0031911629434836684,0,1,1.0
halle,0,0.015873015873015872,0,1,1.0
indian,0,0.011571070436460678,0,3,3.0
johnny,0,0.015873015873015872,0,1,1.0
malthus,0,0.006778092095346263,0,3,3.0
pete,0,0.009851657031645544,0,2,2.0
square,0,0.00562179463107753,0,1,4.0
vehmgericht,0,0.007842274996778907,0,3,4.0
whyte,0,0.015873015873015872,0,1,2.0
william,0,0.015873015873015872,0,1,2.0
