canonical_name,alias_name
Erica Heath-Warburton,
Sherlock Holmes,
Sherlock Holmes,SHERLOCK HOLMES
DENIS CATHCART,
DENIS CATHCART,CATHCART
Manon Lescaut,
Pettigrew-Robinsons,
PETTIGREW-ROBINSON,
Constable Z15,
Richard III,
Mrs. George,
Mrs. George,George
LADY MAISRY,
MARCHBANKS,
ARBUTHNOT,
LADY MARY,
Monsieur,
Kai-Lung,
Kai-Lung,KAI-LUNG
CHARLES,
DENVER,
SIMONE,
James,
Jerry,
Jack,
Begg,
Tom,
Tom,TOM
cat,
mudstains,
iv,
vii,
parker,
notes,
ix,
goyles,
him,
xv,
bar,
falling,
peter,
wimsey,
julian,
freke,
bunter,
riddlesdale,
inquest,
frederick,
gerald,
tommy,
freeborn,
fleming,
walter,
montague,
freddy,
lydia,
john,
hardraw,
thorpe,
craikes,
d,
c,
murbles,
impey,
biggs,
theodore,
p,
melbourne,
helen,
mornin,
god,
curry,
jove,
barbara,
ferrers,
wordsworth,
tableau,
blood,
david,
copperfield,
gaiter,
bach,
william,
snooks,
of,
digglesbrake,
nathaniel,
foulis,
ellen,
bjove,
fleetwhite,
lubbock,
hullo,
polly,
grimethorpe,
mester,
jezebel,
jabez,
medusa,
g,
hms,
pinafore,
turgeot,
bourgois,
leblanc,
mademoiselle,
briquet,
thingummy,
elizabeth,
henry,
mother,
lawks,
spilsbury,
pritchard,
sexton,
blake,
napoleon,
morrison,
andrew,
mackenzie,
tarrant,
coke,
joyce,
robert,
snoates,
chesterton,
nelson,
geo,
gargoyles,
mountweazle,
browning,
manichee,
faustus,
lochinvar,
hiya,
donne,
truth,
shakespeare,
dowson,
simpson,
featherstone,
clive,
barrow,
meribah,
lob,
giantkiller,
wilkes,
tim,
watchett,
greg,
smith,
brooks,
zedekiah,
bone,
timothy,
liz,
grimethorpes,
jem,
bet,
watson,
gooch,
w,
mark,
dolby,
hewitt,
johnson,
dobbin,
groot,
pot,
jane,
jake,
stapley,
farmer,
conchy,
goyleses,
moses,
francois,
bolingbroke,
aumerle,
northumberland,
percy,
fitzwater,
carlisle,
herald,
officers,
bagot,
ii,
glibbery,
attenbury,
rouge,
dragon,
ben,
usher,
high,
wigmore,
wrinching,
counsel,
steward,
brownriggfortescue,
reuter,
gawd,
hebert,
ballad,
grant,
van,
humperdinck,
adele,
perkins,
murphy,
eliza,
briggs,
brigette,
vonderaa,
wiggy,
biggy,
aladdin,
alma,
mater,
racine,
robinson,
lhs,
cluer,
inspector,
sugg,
palmerston,
jush,
shugg,
