character1,character2,count
him,of,110
Peter,of,109
d,of,98
Detective Inspector Parker,of,80
Monsieur Cathcart,of,75
Denver,of,67
Lady Mary,of,64
Mrs. Pettigrew-Robinson,Robinson,51
Lady Mary Wimsey,of,50
Mr. Bunter,of,43
Denis,Monsieur Cathcart,31
Denis,Denis Cathcart,26
Denis Cathcart,Monsieur Cathcart,26
Monsieur Cathcart,him,25
Mr. Bunter,Peter,25
high,steward,24
Sir Impey,of,23
blood,of,22
Denis,of,21
Riddlesdale,of,21
Lady Mary,Lady Mary Wimsey,20
Peter,him,20
Sir Impey,Sir Impey Biggs,20
high,of,20
Detective Inspector Parker,him,19
Mester Grimethorpe,of,17
god,of,17
Gerald,of,16
Lady Mary,Peter,16
cat,of,16
d,him,15
Denis Cathcart,of,14
Denver,him,14
Detective Inspector Parker,Lady Mary,14
Lady Mary Wimsey,him,14
Counsel,of,13
Lady Mary Wimsey,Peter,13
bar,of,13
of,steward,13
Detective Inspector Parker,Peter,12
Lady Mary,Monsieur Cathcart,12
Mr. Bunter,him,12
Sir Impey Biggs,of,12
notes,of,12
Denver,Monsieur Cathcart,11
Detective Inspector Parker,Lady Mary Wimsey,11
Mother,of,11
Robinson,of,11
Denis,him,10
George Goyles,of,10
Gerald,him,10
Sir Wigmore,of,10
inquest,of,10
of,truth,10
Detective Inspector Parker,notes,9
Jerry,of,9
Lady Mary,him,9
Lady Mary Wimsey,Monsieur Cathcart,9
Mrs. Pettigrew-Robinson,of,9
Sir Wigmore,Sir Wigmore Wrinching,9
Charles II,of,8
Detective Inspector Parker,Monsieur Cathcart,8
George,of,8
Lady Mary,Mother,8
Lady Mary,d,8
Miss Ellen,of,8
Mr. Murbles,of,8
Freddy,of,7
Helen,of,7
Mary Tarrant,of,7
Mester Grimethorpe,him,7
Monsieur Cathcart,d,7
Sir Impey,him,7
Charles II,Detective Inspector Parker,6
Denver,Riddlesdale,6
Detective Inspector Parker,cat,6
George,him,6
George Goyles,Monsieur Cathcart,6
Gerald,Lady Mary Wimsey,6
Leblanc,of,6
Monsieur Briquet,of,6
Mrs. Marchbanks,of,6
Peter,blood,6
Sir Impey,Sir Wigmore,6
Denis,Gerald,5
Freddy Arbuthnot,of,5
Gerald,d,5
Lady Mary,Mrs. Pettigrew-Robinson,5
Lady Mary,Robinson,5
Leblanc,Monsieur Cathcart,5
Monsieur Cathcart,Peter,5
Monsieur Cathcart,Sir Impey,5
Mother,him,5
Peter,d,5
Peter,pot,5
Riddlesdale,him,5
Sir Wigmore Wrinching,of,5
d,god,5
Charles II,Mr. Charles Parker,4
Counsel,high,4
Counsel,steward,4
Denis,George,4
Denver,Gerald,4
Denver,Lady Mary Wimsey,4
Detective Inspector Parker,Mr. Charles Parker,4
George,Gerald,4
George,Lady Mary,4
George,d,4
George Goyles,Peter,4
George Goyles,him,4
Gerald,Monsieur Cathcart,4
Inspector Craikes,of,4
James Fleming,of,4
Lady Mary,Mr. Bunter,4
Lady Mary,cat,4
Lady Mary,god,4
Lydia Cathcart,Monsieur Cathcart,4
Mary Tarrant,Peter,4
Miss Ellen,Mr. Bunter,4
Monsieur Cathcart,Mrs. Marchbanks,4
Mother,Peter,4
Mother,d,4
Mr. Bunter,Riddlesdale,4
Mrs. Pettigrew-Robinson,him,4
Robinson,him,4
Sherlock Holmes,of,4
Sir Impey Biggs,him,4
Wilkes,of,4
bar,high,4
cat,him,4
god,him,4
ii,of,4
of,officers,4
Charles II,Peter,3
Denis,Lady Mary,3
Denis,d,3
Denis Cathcart,him,3
Denver,Peter,3
Denver,bar,3
Denver,inquest,3
Detective Inspector Parker,Inspector Sugg,3
Detective Inspector Parker,Riddlesdale,3
Dr. Thorpe,of,3
Freddy,Freddy Arbuthnot,3
Freddy Arbuthnot,Pettigrew-Robinsons,3
George Goyles,Riddlesdale,3
Gerald,Lady Mary,3
Gerald,Peter,3
Gerald,god,3
Inspector Sugg,him,3
Jem,of,3
Jerry,Mester Grimethorpe,3
Jerry,d,3
John,of,3
John Hardraw,of,3
John Watson,of,3
Kai-Lung,of,3
Lady Mary,truth,3
Lady Mary Wimsey,Mother,3
Lady Mary Wimsey,Mr. Bunter,3
Lady Mary Wimsey,Polly,3
Mademoiselle,Mademoiselle Simone Vonderaa,3
Mademoiselle,of,3
Mademoiselle Simone Vonderaa,Simone,3
Mademoiselle Simone Vonderaa,of,3
Mary Tarrant,him,3
Mester Grimethorpe,Monsieur Cathcart,3
Mester Grimethorpe,Peter,3
Mester Grimethorpe,Stapley,3
Mester Grimethorpe,d,3
Miss Cathcart,Monsieur Cathcart,3
Monsieur Cathcart,Mrs. Pettigrew-Robinson,3
Monsieur Cathcart,Riddlesdale,3
Monsieur Cathcart,Robinson,3
Monsieur Cathcart,Simone,3
Monsieur Cathcart,blood,3
Monsieur Cathcart,truth,3
Mother,god,3
Mr. Bunter,Wilkes,3
Mr. Murbles,Peter,3
Mr. Murbles,Sir Impey,3
Mr. Murbles,him,3
Peter,Riddlesdale,3
Peter,Wilkes,3
Riddlesdale,Stapley,3
Riddlesdale,d,3
Simone,of,3
Sir Impey Biggs,Sir Wigmore,3
Stapley,of,3
Tommy Freeborn,of,3
bar,steward,3
barrow,of,3
blood,d,3
high,him,3
mark,of,3
medusa,of,3
of,pot,3
of,usher,3
Attenbury,Lady Mary Wimsey,2
Aumerle,Bagot,2
Bagot,Bolingbroke,2
Bagot,of,2
Bet,of,2
Charles II,Monsieur Cathcart,2
Charles II,d,2
Charles II,him,2
Counsel,Denis,2
Counsel,Denis Cathcart,2
Counsel,Monsieur Cathcart,2
Counsel,Mr. Bunter,2
Counsel,Mr. Murbles,2
Denis,Denver,2
Denis,Mrs. Pettigrew-Robinson,2
Denis,Riddlesdale,2
Denis,Robinson,2
Denis Cathcart,Denver,2
Denis Cathcart,Mrs. Pettigrew-Robinson,2
Denis Cathcart,Riddlesdale,2
Denis Cathcart,Robinson,2
Denis Cathcart,d,2
Denver,Freddy Arbuthnot,2
Denver,George,2
Denver,Lady Mary,2
Denver,high,2
Denver,steward,2
Denver,truth,2
Detective Inspector Parker,George Goyles,2
Detective Inspector Parker,Mademoiselle,2
Detective Inspector Parker,Monsieur Briquet,2
Detective Inspector Parker,Mr. Bunter,2
Detective Inspector Parker,Mr. Murbles,2
Detective Inspector Parker,barrow,2
Detective Inspector Parker,cluer,2
Detective Inspector Parker,d,2
Detective Inspector Parker,god,2
Detective Inspector Parker,high,2
Detective Inspector Parker,inquest,2
Detective Inspector Parker,mark,2
Dr. Thorpe,Lady Mary,2
Dr. Thorpe,Mother,2
Farmer Grimethorpe,Mester Grimethorpe,2
Freddy,Pettigrew-Robinsons,2
Freddy,d,2
Freddy Arbuthnot,Monsieur Cathcart,2
Freddy Arbuthnot,frederick,2
George,god,2
George Goyles,Lady Mary,2
George Goyles,Lady Mary Wimsey,2
George Goyles,Mester Grimethorpe,2
Gerald,Helen,2
