node,is_victim,pagerank,victim_connection_weight,degree,strength
Adele,0,0.006325294721598684,0,3,5.0
Adler,0,0.007246376811594204,0,1,1.0
Affleck,0,0.0027292558336980592,0,3,6.0
Akerman,0,0.007246376811594204,0,1,1.0
Anderson,0,0.0013814960083121533,0,1,1.0
Atkinson,0,0.0014614164944158298,0,3,3.0
BLACK,0,0.006583595757750639,0,14,19.0
Banks,0,0.003972261107298118,0,3,3.0
Barrymore,0,0.0014005671555372193,0,2,2.0
Bassey,0,0.005321083517071728,0,3,4.0
Beales,0,0.001267296513164419,0,1,1.0
Bell,0,0.007683418986495409,0,9,12.0
Bening,0,0.00487460074890459,0,11,15.0
Bergman,0,0.001457534149752361,0,1,1.0
Blige,0,0.0015282636941758646,0,2,2.0
Bohemian,0,0.0044392353147839955,0,5,5.0
Bradbury,0,0.0012501093450822016,0,1,1.0
Brolin,0,0.007246376811594204,0,1,1.0
Brooks,0,0.0034456846140775185,0,2,2.0
Brosnan,0,0.001597530676831728,0,2,2.0
Brown Knightley,0,0.0012567590479345817,0,1,1.0
Brown Lewis,0,0.007246376811594204,0,1,1.0
Bruce,0,0.0035677410686617023,0,7,10.0
Bullock Arquette,0,0.0015271147970436585,0,1,1.0
Bullock Tatum,0,0.001226651162772506,0,1,1.0
CUMMINGS DICAPRIO,0,0.0028370301051744385,0,2,2.0
Campbell,0,0.0017031144633283548,0,1,1.0
Caplan,0,0.009405529769151886,0,14,49.0
Carrey Dinklage,0,0.003347877213994474,0,7,14.0
Charles Zeta,0,0.00519294394920344,1,13,23.0
Cher Adam,0,0.0021117202837086036,0,3,3.0
Cher Benning,0,0.0035468717971959937,0,5,18.0
Cher O'brien,0,0.01516351777844979,0,14,102.0
Cher Verne,0,0.0012567590479345817,0,1,1.0
Collette,0,0.007246376811594204,0,1,1.0
Cooper Rapp,0,0.014346639740059695,0,22,85.0
Cooper Rapp Charles,0,0.002202585148532235,0,6,7.0
Costner,0,0.040738401088600364,0,30,305.0
Costner Redford,0,0.0669970460866676,0,37,516.0
Costner Redford Tyrese,0,0.013224809734250552,0,24,80.0
Criss,0,0.0013298485138181191,0,1,2.0
Cyndi,0,0.007246376811594204,0,2,4.0
Davidson,0,0.0018623854065163712,0,3,4.0
Dehaan,0,0.0020632228814527987,0,2,2.0
Deschanel,0,0.0012585999987147671,0,1,1.0
Diaz,0,0.007556431356210574,0,18,31.0
Dickinson,0,0.007459617928968012,0,17,29.0
Dorsey O'brien,1,0.004791028391379203,2,7,22.0
Downey Jolie,0,0.002582083757226613,0,5,9.0
Dunaway,0,0.002297566852707791,0,4,4.0
Dunst,0,0.0012941406215486928,0,1,1.0
Eisenberg Moore,0,0.011785682696889796,0,23,45.0
