character1,character2,count
Charles Sandler,James,46
Charles Sandler,Charles. Burrows Jason,36
Charles.,Goodman,34
Charles. Diaz,Goodman,31
Charles Elgort,Elliott Bruce,30
Charles Rourke,Charles Sandler,30
Charles. Burrows Jason,Elliott Zane,27
Charles Rourke,James,24
Charles Elgort,Charles Rourke,23
Charles. Burrows Jason,Goodman,23
Charles Goodman Ashley,Goodman,22
Elliott Zane,Goodman,22
Charles Sandler,Collette Deschanel,21
Charles Sandler,Elliott Zane,21
Elliott Bruce,Ellis Dicaprio,21
Charles Elgort,James,20
Collette Deschanel,James,20
Elliott Zane,James,20
Charles Dunaway,Charles Sandler,19
Charles Sandler,Goodman,18
Charles. Burrows Jason,Jason Burrows,17
Boomer,Boomer Gere,16
Swift,Swift Lamarr,15
Charles Dunaway,James,14
Charles Sandler,Charles.,14
Charles. Burrows Jason,James,14
Charles Sandler,Young,10
Charles.,Charles. Burrows Jason,10
Charles.,James,10
Crowe,Lamarr (Chappelle),10
Boomer,Goodman,9
Charles Dunaway,Elliott Zane,9
Goodman,Johansson,9
Boomer Gere,Goodman,8
Boomer Gere,Lamarr (Chappelle),8
Charles Rourke,Collette Deschanel,8
Charles Rourke,Teller,8
Charles.,Elliott Zane,8
Charles. Diaz,James,8
Collette Deschanel,Lamarr (Chappelle),8
Goodman,Lamarr (Chappelle),8
Harrelson,Harrelson Cruz,8
Charles.,Charles. Diaz,7
Charles.,Lamarr (Chappelle),7
Delaney,Jolie,7
Ellis Dicaprio,James,7
James,Young,7
Charles Elgort,Ellis Dicaprio,6
Charles Elgort,Lawrence Behar,6
Charles Elgort,Young,6
Charles Sandler,Teller,6
Charles. Burrows Jason,Elliott Bruce,6
Charles. Calloway,Lamarr (Chappelle),6
Elliott Bruce,James,6
Elliott Bruce,Teller,6
James,Roberts,6
James,Swift,6
Lamarr (Chappelle),Swift Lamarr,6
Bohemian,Elliott Bruce,5
Boomer Gere,Johansson,5
Channing Streep,Charles Elgort,5
Charles Dunaway,Charles.,5
Charles Elgort,Charles. Burrows Jason,5
Charles Rourke,Roberts,5
Charles.,Teller,5
Charles. Burrows Jason,Ellis Dicaprio,5
Goodman,James,5
Johansson,Lamarr (Chappelle),5
Adam,Charles Elgort,4
Adam,Elliott Bruce,4
Barbra,Charles Elgort,4
Boomer Gere,Collette Deschanel,4
Boomer Gere,Elliott Zane,4
Charles Banks,Goodman,4
Charles Dunaway,Collette Deschanel,4
Charles Dunaway,Goodman,4
Charles Elgort,Charles Sandler,4
Charles Elgort,Hutton,4
Charles Elgort,Roberts,4
Charles Elgort,Teller,4
Charles Rourke,Elliott Bruce,4
Charles Rourke,Hill,4
Charles Rourke,Swift,4
Charles Sandler,Cummings,4
Charles. Burrows Jason,Collette,4
Charles. Costner,Swift,4
Charles. Diaz,Collette Deschanel,4
Charles. Diaz,Swift,4
Collette Deschanel,Elliott Zane,4
Collette Deschanel,Goodman,4
Collette Deschanel,Young,4
Elliott Bruce,Hill,4
Elliott Bruce,Jason Burrows,4
Elliott Bruce,Young,4
Hutton,James,4
James,Swift Lamarr,4
James,Turner,4
Jason Burrows,Young,4
Adam,Goodman,3
