node,is_victim,pagerank,victim_connection_weight,degree,strength
Abel,0,0.006148833740529927,0,6,13.0
Andre,0,0.013505273642926929,13,10,40.0
Anselme,0,0.0021131914364922594,0,1,1.0
Antonin,0,0.005935144281012218,0,5,5.0
Antonin Poche,0,0.0027532274028325334,0,1,1.0
Audibert,0,0.0020268421321306164,0,1,1.0
Auguste Prosper Bertomy,0,0.00233326975065489,0,2,2.0
Aunt Valentine,0,0.00207857635323126,0,1,1.0
Aurora,0,0.011627906976744186,0,1,1.0
Beaucaire,0,0.006399361520233794,0,7,12.0
Boirot,0,0.005499106755949756,0,2,2.0
Caldas,0,0.005761449891015598,0,8,11.0
Caroline Piedlent,0,0.00403615817771483,0,4,4.0
Emile Gaboriau,0,0.0021719912759053557,0,1,1.0
Evariste,0,0.0021092800192853956,0,1,1.0
Fanfer,0,0.0021238816416854563,0,1,1.0
Fanferlot the Squirrel,0,0.008301189139698661,0,8,18.0
Fougeroux,0,0.0052303074061947835,0,5,11.0
Gaston de Clameran,0,0.07680585064997525,0,33,231.0
Hein,0,0.0023037571083844004,0,2,2.0
James Chocareille,0,0.00403615817771483,0,4,4.0
James Spencer,0,0.006799798894810107,0,2,3.0
Jandidier,0,0.0021719912759053557,0,1,1.0
Joseph,0,0.018175495648334504,0,14,45.0
Joseph Dubois,0,0.01340056600086612,0,9,30.0
Jules Lazet,0,0.004095823045715967,0,2,7.0
La Verdure,0,0.003321354859729553,0,3,4.0
Lafourcade,0,0.0048348913326734435,0,8,9.0
Louis de Clameran,0,0.013363145197762608,0,11,39.0
M. Andre Fauvel,1,0.011406742599659495,0,5,34.0
M. Cavaillon,0,0.011167686615527138,0,8,26.0
M. Fanferlot,0,0.02431062396425932,0,17,56.0
M. Gaston,0,0.052714043954808006,0,25,141.0
M. Lecoq,0,0.007156627279868668,0,7,13.0
M. Louis,0,0.05341744207217046,0,25,155.0
M. Lucien,0,0.0064767054835404,0,6,14.0
M. Raoul,0,0.07170143409167719,0,22,222.0
M. Raoul de Lagors,0,0.017196442188565107,0,11,55.0
Manuel,0,0.003872715946790753,0,4,7.0
Mihonne,0,0.005775017832715163,0,5,13.0
Mlle. Madeleine,0,0.04035063219698472,0,20,131.0
Mlle. Madeleine Fauvel,0,0.05727143512800405,16,28,177.0
Mlle. Palmyre,0,0.011725468819368657,0,12,21.0
Mlle. Valentine,0,0.034228226460042775,1,23,87.0
Mme. Nina,0,0.01627284016280212,0,14,45.0
Mme. Nina Gypsy,0,0.019060066127365796,0,16,52.0
Moirot,0,0.004081148664733448,0,1,1.0
Monsieur,0,0.022293434412543122,3,21,67.0
Monsieur Patrigent,0,0.008133179174739538,0,6,12.0
Monsieur Prosper Bertomy,0,0.01538069794520322,0,16,43.0
Monsieur Verduret,0,0.022614198915680384,0,18,65.0
Palmyre Chocareille,0,0.009381282869037916,0,8,15.0
Pere Menoul,0,0.005029588305508698,0,4,8.0
Pilorel,0,0.003919318500037688,0,4,5.0
Prosper,0,0.06640435191915572,0,32,198.0
Raoul-Valentin Wilson,0,0.0020186953334864013,0,1,1.0
Sigault,0,0.005041834392785615,0,4,6.0
St. Jean,0,0.004251458587604579,0,4,6.0
Toinette,0,0.00238041803636244,0,2,2.0
Valentin-Raoul,0,0.004571249869547173,0,3,7.0
Valentin-Raoul Wilson,0,0.003403316994892447,0,2,4.0
Valentine de la Verberie,0,0.005577385658896206,0,4,12.0
Vesinet,0,0.005759278422500146,0,7,14.0
adam,0,0.0035115777156165266,0,2,2.0
c,0,0.0020292478214096275,0,1,1.0
chance,0,0.005910541171182326,0,5,5.0
clamerans,0,0.0030153113751561324,0,3,4.0
eve,0,0.0035115777156165266,0,2,2.0
fontanet,0,0.002189292354462577,0,1,1.0
god,0,0.008063949340555475,0,11,20.0
imbecile,0,0.002482196826472891,0,1,2.0
ingrate,0,0.0020186953334864013,0,1,1.0
jones,0,0.004904095982288729,0,4,6.0
korasoff,0,0.011627906976744186,0,1,1.0
lyons,0,0.0029650154650315234,0,3,3.0
mademoiselle,0,0.0034659125503865903,0,6,6.0
mount,0,0.0033342982659566554,0,3,4.0
murray,0,0.0055966113172674125,0,1,2.0
oloron,0,0.01079295830072009,0,13,27.0
opportunity,0,0.00903960555789644,1,14,22.0
parbleu,0,0.0021719912759053557,0,1,1.0
paris,0,0.021641950657675185,0,20,43.0
providence,0,0.002748960376862177,0,1,1.0
tarascon,0,0.008902548912721537,0,10,17.0
w,0,0.002340375999133948,0,2,2.0
warth,0,0.0039265660444764705,0,3,5.0
