char_id,name,story_title
1,Dagny,File No. 113
2,Durand Mount,File No. 113
3,Abel Beaucaire,File No. 113
4,Emile,File No. 113
5,Aurora Caldas,File No. 113
6,P. B.,File No. 113
7,Emile Caldas,File No. 113
8,Duke of Brunswick,File No. 113
9,Count Bilboquet de Andre,File No. 113
10,de Andre,File No. 113
11,Verdure Providence,File No. 113
12,Ivry,File No. 113
13,Klopen,File No. 113
14,Verdure,File No. 113
15,Caldas,File No. 113
16,Emile de Andre,File No. 113
17,Aubusson,File No. 113
18,Emile. Caldas,File No. 113
19,Emile. de Rothschild,File No. 113
20,monsieur,File No. 113
21,de Rothschild's,File No. 113
22,the iron-founder,File No. 113
23,Gaboriau,File No. 113
24,Commissary,File No. 113
25,Banker,File No. 113
26,Emile Fougeroux,File No. 113
27,Mamma,File No. 113
28,P,File No. 113
29,Mademoiselle,File No. 113
30,Aunt Caldas,File No. 113
31,Sary,File No. 113
32,Emile Eugene Klopen,File No. 113
33,Emile Verdure,File No. 113
34,Caroline,File No. 113
35,Vesinet,File No. 113
36,Xiii,File No. 113
37,Vesinet.,File No. 113
38,Quai Saint Michel,File No. 113
39,Vesinet Raoulvalentin,File No. 113
40,Mamma Fougeroux,File No. 113
41,Emile Taberet,File No. 113
42,Emile Parbleu,File No. 113
43,Parbleu,File No. 113
44,Paris,File No. 113
45,Evariste,File No. 113
46,Providence,File No. 113
47,C,File No. 113
48,Piedlent de Dobbin,File No. 113
49,Calumny,File No. 113
50,the judge,File No. 113
51,Taberet,File No. 113
52,Emile de Dobbin,File No. 113
53,Dobbin,File No. 113
54,Cabby-Germain,File No. 113
55,Warth James,File No. 113
56,James,File No. 113
57,Hein La,File No. 113
58,Couturier La,File No. 113
59,Clamerans Rosalieclarisse,File No. 113
60,Denis Lagors,File No. 113
61,Madame Lifo,File No. 113
62,Caroline Xiii,File No. 113
63,Patrigent,File No. 113
64,Jules De,File No. 113
65,Caldas's,File No. 113
66,Warth. P banish,File No. 113
67,Jacobson,File No. 113
68,Audibert,File No. 113
69,Emile. Providence,File No. 113
70,Monsieur,File No. 113
71,Raoulvalentin,File No. 113
72,Gaston,File No. 113
73,Emile. Taberet,File No. 113
74,Caroline GYPSY,File No. 113
75,Fougeroux,File No. 113
76,Martin,File No. 113
77,Jandidier,File No. 113
78,Lecoq,File No. 113
79,Bouthor Circus,File No. 113
80,Ingrate Audibert,File No. 113
81,Adonis,File No. 113
82,the poor girl,File No. 113
83,Wilson,File No. 113
84,Piedlent,File No. 113
85,de Dobbin,File No. 113
86,Andre,File No. 113
87,Warth,File No. 113
88,Ergo,File No. 113
89,fat man,File No. 113
90,Toinette,File No. 113
91,Vesinet de Tours,File No. 113
92,Father Sigault,File No. 113
93,Emile Wilson,File No. 113
94,Aunt,File No. 113
95,Catherine de Fanferlot,File No. 113
96,Emile. Wilson,File No. 113
97,Warth P,File No. 113
98,Honore,File No. 113
99,Jarnibleu,File No. 113
100,Nostradamus,File No. 113
101,Janouille,File No. 113
102,Rosalie-Clarisse Fontanet,File No. 113
103,Auguste,File No. 113
104,Jules-Rene-Henri de Dobbin,File No. 113
105,Bilboquet de Andre,File No. 113
106,Strauss,File No. 113
107,Emile. de Andre,File No. 113
108,Master Ingrate Audibert,File No. 113
109,Ingrate,File No. 113
110,Vesinet Caldas,File No. 113
111,ilson,File No. 113
112,Mihonne,File No. 113
113,Cavaillon,File No. 113
114,Lazare,File No. 113
115,P (niece),File No. 113
116,Madeleine de la Palot,File No. 113
117,Bilboquet the Fourteenth,File No. 113
118,Marquis de Andre,File No. 113
119,Warth.,File No. 113
120,Henri III,File No. 113
121,Bickers,File No. 113
122,Countess de Commarin,File No. 113
123,Princess Crescenzi,File No. 113
124,Li-Fo,File No. 113
125,Fauvel,File No. 113
126,Punch,File No. 113
127,Valentine,File No. 113
128,the mandarine's folly,File No. 113
129,De Andre,File No. 113
130,the clown,File No. 113
131,the forge-master,File No. 113
132,Judas,File No. 113
133,Jean,File No. 113
134,Bilboquet,File No. 113
135,de la Palot,File No. 113
136,Chance Louis,File No. 113
137,Warth. de la Palot,File No. 113
138,Andre family,File No. 113
139,Chocareille husband and wife,File No. 113
140,Mamma (Audibert),File No. 113
141,Count d'Artois,File No. 113
142,Marquis,File No. 113
143,Countess de la Palot,File No. 113
144,Madeleine,File No. 113
145,Vesinet de la Palot,File No. 113
146,Bilboquet Anselme,File No. 113
147,Henri IV,File No. 113
148,Palmyre Palot,File No. 113
149,Duchess d'Arlange,File No. 113
150,Vesinet. de la Palot,File No. 113
151,The Tarascon,File No. 113
152,Tarascon,File No. 113
153,Monseigneur,File No. 113
154,Cabby,File No. 113
155,Warth de la Palot,File No. 113
156,Job,File No. 113
157,Palmyre Cavaillon,File No. 113
158,Antoinette,File No. 113
159,Opportunity,File No. 113
160,Palmrye Cavaillon,File No. 113
161,Anselme Madeleine,File No. 113
162,Eve Oloron,File No. 113
163,Tom John,File No. 113
164,Imbecile,File No. 113
165,Emile Strauss,File No. 113
166,Palmyre Verberies,File No. 113
167,Dr. Monsieur,File No. 113
168,Emile Bilboquet,File No. 113
169,Cabby Warth de la Palot,File No. 113
170,Imbecile Vesinet de Palmyre Palot,File No. 113
171,the countess,File No. 113
172,the old dowager,File No. 113
173,Countess,File No. 113
174,Palot,File No. 113
175,Marquis of Andre,File No. 113
176,Mrs. James,File No. 113
177,Doctor,File No. 113
178,Aurora,File No. 113
179,Temper,File No. 113
180,Warth. Madeleine,File No. 113
181,Madame Caldas,File No. 113
182,Germain,File No. 113
183,Count de Commarin,File No. 113
184,Jacques,File No. 113
185,Menoul,File No. 113
186,te marquis,File No. 113
187,Don't you remember,File No. 113
188,Munes,File No. 113
189,Emile Munes,File No. 113
190,Lucien,File No. 113
191,ANDRE,File No. 113
192,STRAUSS,File No. 113
193,VESINET CALDAS,File No. 113
194,hom,File No. 113
195,strauss,File No. 113
196,bilboquet,File No. 113
197,vesinet,File No. 113
198,caldas,File No. 113
199,Valentin-Piedlent,File No. 113
200,Verberie,File No. 113
201,Dr. Mary,File No. 113
202,Rev. Dr. Mary,File No. 113
203,Mrs. Verberie,File No. 113
204,Strauss de Andre,File No. 113
205,Aunt Madeleine,File No. 113
206,Master Verdure,File No. 113
207,Vesinet. Caldas,File No. 113
208,P. XVII,File No. 113
209,Cab,File No. 113
210,Mamma Dobbin,File No. 113
211,P! Vesinet,File No. 113
212,Warth. P,File No. 113
213,marquis,File No. 113
214,Prosperity,File No. 113
215,The Marquis of Andre,File No. 113
216,Antonin,File No. 113
217,Squirrel,File No. 113
218,Raget,File No. 113
219,Oloron,File No. 113
220,Captain Mlle,File No. 113
221,Prosper John,File No. 113
222,Perrette,File No. 113
223,Aspe,File No. 113
224,Louis de Clameran,File No. 113
225,W,File No. 113
226,Boirot,File No. 113
227,Lafourcade,File No. 113
228,Julesrenehenri,File No. 113
229,Bertomy,File No. 113
230,Dr. Joseph----,File No. 113
231,Joseph,File No. 113
232,Bilboquet de Andre's,File No. 113
233,Korasoff,File No. 113
234,Gy,File No. 113
235,Manuel,File No. 113
236,Messrs Fanfer,File No. 113
237,Retribution,File No. 113
238,ertomy,File No. 113
239,Dr. Joseph,File No. 113
240,Hein,File No. 113
241,Vesinet. Raoulvalentin,File No. 113
242,Dombas,File No. 113
243,Caesar,File No. 113
244,Emile le marquis,File No. 113
245,Warth. Hein,File No. 113
246,Emile. Caldas.,File No. 113
247,mademoiselle,File No. 113
248,Vesinets,File No. 113
249,he,File No. 113
250,she,File No. 113
251,Dubois,File No. 113
252,De Dobbin,File No. 113
