character1,character2,count
Brolin Diaz,Miss Brolin,88
Affleck Scott,Scott Ice,60
James,James Garfunkel,49
Black,Mr. Black Cobain,44
Affleck Scott,Brolin Diaz,41
Gyllenhaal Tyson,Judge Tyson,37
Affleck Scott,Dickinson Ruffalo,29
Miss Zane Smith,Zane,29
Affleck Scott,Pearson Depp,28
Affleck Scott,Miss Brolin,27
Brolin Diaz,Cyndi,27
Brolin Diaz,Cyndi Diaz,26
Cyndi,Cyndi Diaz,26
Quaid,Quaid Davidson,24
Affleck Scott,Gyllenhaal Tyson,22
Dickinson Ruffalo,Mr. Pitt Ruffalo,20
Dickinson Ruffalo,Pitt,20
Mr. Pitt Ruffalo,Pitt,20
Affleck Scott,Quaid Davidson,18
Affleck Scott,Wright,17
Pearson,Pearson Depp,17
Affleck Scott,Mr. Penn,16
Mr. Roberts,Quaid Davidson,16
Phillips Taika,Quaid Davidson,15
Brolin Diaz,Mr. Black Cobain,14
James,Mr. Black Cobain,14
Affleck Scott,Miss Jackman Rapp,13
Affleck Scott,Palmer,13
Dickinson Ruffalo,Pearson Depp,13
Mr. Roberts,Phillips Taika,13
Affleck Scott,Phillips Taika,12
Dickinson Ruffalo,Gyllenhaal Tyson,12
James Garfunkel,Mr. Black Cobain,12
Affleck Scott,Young,11
Dickinson Ruffalo,James,11
Dickinson Ruffalo,Mr. Penn,11
Affleck Scott,James,10
Dickinson Ruffalo,James Garfunkel,10
Dickinson Ruffalo,Scott Ice,10
Phillips Taika,Quaid,10
Affleck Scott,James Garfunkel,9
Affleck Scott,Mr. Roberts,9
Brolin Diaz,Grant,9
Dickinson Ruffalo,Mr. Black Cobain,9
Mr. Black Cobain,Phillips Taika,9
Brolin Diaz,Pearson Depp,8
Mr. Black Cobain,Young,8
Scott Ice,Wright,8
Affleck Scott,Black,7
Affleck Scott,Mr. Black Cobain,7
Akerman Kline,Mr. Black Cobain,7
Brolin Diaz,Dickinson Ruffalo,7
Cyndi,Scott Ice,7
James,Palmer,7
James,Phillips Taika,7
James Garfunkel,Palmer,7
Affleck Scott,Pitt,6
Black,James,6
James,Scott Ice,6
James Garfunkel,Scott Ice,6
Miss Brolin,Pearson Depp,6
Miss Zane Smith,Phillips Taika,6
Phillips Taika,Zane,6
Quaid,Zane,6
Quaid Davidson,Zane,6
Affleck Scott,Jolie',5
Affleck Scott,Judge Tyson,5
Affleck Scott,Mr. Pitt Ruffalo,5
Black,James Garfunkel,5
Brolin Diaz,Scott Ice,5
Brolin Diaz,Young,5
Gyllenhaal Tyson,Phillips Taika,5
James,Quaid Davidson,5
James Garfunkel,Phillips Taika,5
Judge Tyson,Phillips Taika,5
Ledger,Young,5
Miss Brolin,Scott Ice,5
Miss Zane Smith,Quaid,5
Miss Zane Smith,Quaid Davidson,5
Mr. Black Cobain,Scott Ice,5
Mr. Penn,Pearson Depp,5
Palmer,Scott Ice,5
Pearson Depp,Young,5
Phillips Taika,Scott Ice,5
Affleck Scott,Cyndi,4
Affleck Scott,Day,4
Affleck Scott,Lewis,4
Black,Brolin Diaz,4
Black,Dickinson Ruffalo,4
Black,Phillips Taika,4
Brolin Diaz,Miss Jackman Rapp,4
Cyndi,James,4
Day,Miss Jackman Rapp,4
Day,Phillips Taika,4
Day,Quaid,4
Day,Scott Ice,4
Dickinson Ruffalo,Judge Tyson,4
Dickinson Ruffalo,Palmer,4
Dickinson Ruffalo,Young,4
Hawke Williams,Mr. Black Cobain,4
Miss Jackman Rapp,Mr. Roberts,4
Mr. Black Cobain,Mr. Penn,4
Mr. Black Cobain,Mr. Roberts,4
Mr. Black Cobain,Quaid Davidson,4
Pearson Depp,Scott Ice,4
Affleck Scott,Bach,3
Affleck Scott,Brown,3
Affleck Scott,Elgort Thomas,3
Affleck Scott,Grant,3
Affleck Scott,Ledger,3
Affleck Scott,Zane,3
Akerman,Mr. Akerman Capshaw,3
Akerman Kline,Young,3
Barbra,Barbra Diaz,3
Barbra,Brolin Diaz,3
Barbra Diaz,Brolin Diaz,3
Black,Palmer,3
Black,Scott Ice,3
Brolin Diaz,Day,3
Brolin Diaz,Mr. Penn,3
Brolin Diaz,Pearson,3
Cummings,Cummings Ruffalo,3
Cummings,Dickinson Ruffalo,3
Cummings Ruffalo,Dickinson Ruffalo,3
Day,Dickinson Ruffalo,3
Day,Mr. Roberts,3
Day,Quaid Davidson,3
Day,Wright,3
Day,Young,3
Dickinson Ruffalo,Grant,3
Dickinson Ruffalo,Pearson,3
Grant,Mr. Penn,3
Gyllenhaal Tyson,Pearson Depp,3
Judge Tyson,Pearson Depp,3
Ledger,Miss Jackman Rapp,3
Lewis,Mr. Black Cobain,3
Miss Jackman Rapp,Young,3
Miss Zane Smith,Mr. Black Cobain,3
Mr. Black Cobain,Palmer,3
Mr. Black Cobain,Zane,3
Mr. Penn,Scott Ice,3
Phillips,Phillips Taika,3
Scott Ice,Young,3
Affleck Scott,Cyndi Diaz,2
Affleck Scott,Hemsworth,2
Affleck Scott,Pearson,2
Affleck Scott,Quaid,2
Akerman,Akerman Kline,2
Akerman Kline,Black,2
Akerman Kline,Hawke Williams,2
Akerman Kline,James,2
Akerman Kline,James Garfunkel,2
Black,Cyndi,2
Black,Cyndi Diaz,2
Black,Young,2
Cummings,Pearson,2
Cummings Ruffalo,Pearson,2
Cyndi,Miss Brolin,2
Cyndi,Mr. Black Cobain,2
Cyndi Diaz,Mr. Black Cobain,2
Cyndi Diaz,Scott Ice,2
Day,Washington,2
Dickinson Ruffalo,Jolie',2
Dickinson Ruffalo,Miss Brolin,2
Dickinson Ruffalo,Miss Jackman Rapp,2
Dickinson Ruffalo,Mr. Roberts,2
Dickinson Ruffalo,Phillips Taika,2
Elgort,Elgort Thomas,2
Elgort Thomas,Miss Jackman Rapp,2
Grant,Scott Ice,2
Gyllenhaal,Scott Ice,2
Gyllenhaal Tyson,Miss Brolin,2
Gyllenhaal Tyson,Mr. Black Cobain,2
Hawke Williams,Young,2
Hemsworth,Scott Ice,2
Hemsworth,Young,2
James,Lewis,2
James,Miss Zane Smith,2
James,Mr. Roberts,2
James,Zane,2
James Garfunkel,Lewis,2
James Garfunkel,Miss Zane Smith,2
James Garfunkel,Young,2
James Garfunkel,Zane,2
Jolie',Young,2
Ledger,Mr. Penn,2
Miss Brolin,Miss Jackman Rapp,2
Miss Brolin,Pearson,2
Miss Brolin,Young,2
Mr. Penn,Quaid Davidson,2
Mr. Pitt Ruffalo,Palmer,2
Mr. Roberts,Scott Ice,2
Mr. Roberts,Young,2
Palmer,Pitt,2
Pearson,Young,2
Pearson Depp,Wright,2
Phillips,Quaid Davidson,2
Phillips Taika,Wright,2
Quaid Davidson,Scott Ice,2
Wright,Young,2
Affleck Scott,Barbra,1
Affleck Scott,Barbra Diaz,1
Affleck Scott,Clooney,1
Affleck Scott,Cummings,1
Affleck Scott,Iger,1
Affleck Scott,Kendrick Deschanel,1
Affleck Scott,Miss Zane Smith,1
Akerman,Scott Ice,1
Akerman,Wright,1
Arnold,Gyllenhaal Tyson,1
Arnold,Moore,1
Astin Saldana,Nixon,1
Bach,Kendrick Deschanel,1
Bach,Palmer,1
Bach,Wright,1
Barbra,Gad,1
Barbra,Miss Brolin,1
Barbra Diaz,Miss Brolin,1
Barr,Phillips Taika,1
Barr,Quaid Davidson,1
Black,Day,1
Black,Grant,1
Black,Lewis,1
Black,Miss Zane Smith,1
Black,Mr. Roberts,1
Black,Quaid Davidson,1
Black,Zane,1
Blythe,Washington,1
Brolin Diaz,Gad,1
Brolin Diaz,Gyllenhaal Tyson,1
Brolin Diaz,James,1
Brolin Diaz,James Garfunkel,1
Brolin Diaz,Jolie',1
Calloway,Gyllenhaal Tyson,1
Calloway,Judge Tyson,1
Calloway,Kidman,1
Calloway,O'neal,1
Clooney,Mr. Penn,1
Cooper,Mr. Black Cobain,1
Corbin,Phillips Taika,1
Cummings,Jolie',1
Cummings,Scott Ice,1
Cummings Ruffalo,Jolie',1
Cyndi,Day,1
Cyndi,Dickinson Ruffalo,1
Cyndi,Grant,1
Cyndi,Gyllenhaal,1
Cyndi,Gyllenhaal Tyson,1
Cyndi,Mr. Penn,1
Cyndi,Young,1
Cyndi Diaz,Dickinson Ruffalo,1
Cyndi Diaz,Gyllenhaal Tyson,1
Cyndi Diaz,Mr. Penn,1
Day,Gad,1
Day,Hemsworth,1
Day,James,1
Day,Miss Brolin,1
Day,Mr. Penn,1
Day,Phillips,1
Day,Zane,1
Dickinson Ruffalo,Gyllenhaal,1
Dickinson Ruffalo,Hemsworth,1
Dickinson Ruffalo,Phillips,1
Dickinson Ruffalo,Quaid Davidson,1
Gad,Young,1
Grant,Gyllenhaal Tyson,1
Grant,Judge Tyson,1
Grant,Miss Brolin,1
Grant,Mr. Black Cobain,1
Grant,Mr. Pitt Ruffalo,1
Grant,Pitt,1
Gyllenhaal,Gyllenhaal Tyson,1
Gyllenhaal,Mr. Pitt Ruffalo,1
Gyllenhaal,Pitt,1
Gyllenhaal Tyson,James,1
Gyllenhaal Tyson,James Garfunkel,1
Gyllenhaal Tyson,Jolie',1
Gyllenhaal Tyson,Kidman,1
Gyllenhaal Tyson,Koshy,1
Gyllenhaal Tyson,Miss Jackman Rapp,1
