node,is_victim,pagerank,victim_connection_weight,degree,strength
Akshay,0,0.0017385373907803602,0,2,2.0
Alia-Kavya Harsh,0,0.0238399095464894,14,25,211.0
Anjenoo,0,0.0019843952747878525,0,2,2.0
Anushka Shubham,0,0.026424150663061276,0,17,234.0
Aunt Rani,0,0.003202777265865004,0,6,11.0
Cat,0,0.0016169743109980398,0,1,1.0
Dean Cornwell,0,0.0018459422615122489,0,3,3.0
Garnsey,0,0.0018564922182619577,0,2,2.0
Heberworth Building elevator-man,0,0.0017411699796463398,0,2,2.0
Hema,0,0.002637578372774207,0,3,6.0
Hina,0,0.013245529021912126,44,21,104.0
Hina Mitali,1,0.03002038358673826,0,34,232.0
Janhvi,0,0.002812754806482999,0,2,2.0
Judge Meher,0,0.01888720161672873,3,29,118.0
Kalyani,0,0.010556015453577403,0,13,72.0
Karthik,0,0.0037439833198498742,0,6,13.0
Kavya,0,0.027316222975484975,17,29,240.0
Kavya Harsh,0,0.021698218012594434,10,24,192.0
Kirti,0,0.011859196039428994,3,17,89.0
Kirti Arvind,0,0.009920596271183572,3,15,73.0
Komal Deanes,0,0.0016116744269934155,0,1,1.0
Komal Payal,0,0.03254865010964636,5,40,245.0
Landseer,0,0.0016169743109980398,0,1,1.0
Lavanya,0,0.0022134924275852576,0,3,4.0
Lips,0,0.005292357024407157,1,7,33.0
MY DEAR MR. Kavita,0,0.014701943654961606,5,21,103.0
Madame Meenal,0,0.005359715164362958,3,14,33.0
Mademoiselle DeLisle,0,0.0022090471913339023,1,6,6.0
Madhavan,0,0.0033851872998030327,0,6,10.0
Madhavan Shubham,0,0.0028810483266573624,0,4,8.0
Maine,0,0.0064222548366661,0,8,42.0
Manas,0,0.004755313982921967,0,6,11.0
Manas Saket,0,0.0039227229537951705,6,7,18.0
Manisha,0,0.012737463139619943,3,14,103.0
Manon,0,0.01,0,1,2.0
Miss Anushka,0,0.029845062932555504,0,22,261.0
Miss Kalyani Ronit,0,0.014786833983693466,0,19,94.0
Mlle. Manisha DeLisle,0,0.011391614274279479,2,14,91.0
Mohanlal Ritesh,0,0.0018649496682284637,0,3,3.0
Mr. Manas Ekta,0,0.0028477012051649295,0,3,5.0
Mr. Sohail Ritesh,0,0.03146638995376716,8,37,239.0
Mrs. Sahil Asin,0,0.00255701687902864,0,4,9.0
New York,0,0.015258678715743226,2,30,97.0
Nidhi Bhavesh,0,0.0016337120923149851,0,1,1.0
Parineeti,0,0.004703603864763486,0,14,26.0
Parvathy,0,0.0016360676883033804,0,1,1.0
Prithvi Karun,0,0.0019761372798176536,0,3,3.0
Priyadarshan,0,0.010740808496078216,2,17,70.0
Priyadarshan Shubham,0,0.04727112950764708,13,30,390.0
Radhika,0,0.0016169743109980398,0,1,1.0
Ragans,0,0.00179615755505343,0,3,3.0
Raghav,0,0.0016169743109980398,0,1,1.0
Rajat,0,0.007318534245759058,1,14,49.0
Ramesh,0,0.014320343083303586,5,27,94.0
Ranbir,0,0.0019823399592926796,0,2,4.0
Rekha Taapsee,0,0.0016099788946214173,1,1,1.0
Roscoe,0,0.0023470692586271672,0,2,4.0
Roshan,0,0.0030231755669350435,0,3,4.0
Roshan Larkin,0,0.0030231755669350435,0,3,4.0
Ruchi,0,0.01104560595968191,1,14,80.0
Ruchi Sameera,0,0.019304286242889532,4,26,135.0
Saira,0,0.0018509229329941189,0,1,3.0
Sakshi,0,0.0016169743109980398,0,1,1.0
Salman,0,0.01,0,1,2.0
Sameer,0,0.003049540091401956,0,4,4.0
Sanjay Komal,0,0.09551097902753257,6,56,727.0
Shahid,0,0.003049540091401956,0,4,4.0
Shilpa,0,0.003049540091401956,0,4,4.0
Shraddha,0,0.0032887601179448014,0,5,9.0
Sidewise,0,0.0017199873654210683,0,2,2.0
Sidharth,0,0.004337722997263166,0,9,17.0
Sidharth Ritesh,0,0.003136582703391721,0,5,11.0
Sidharth Sheridan,0,0.0019414906340819904,0,3,3.0
Sneha,0,0.01284554879882294,1,22,85.0
Sohail,0,0.0064650468790973204,1,12,43.0
Sonakshi,0,0.0069478264988615595,0,11,45.0
Sonakshi Tanmay,0,0.016979103791875182,0,14,133.0
Sonam Films,0,0.004321296820538487,0,8,23.0
Swara DeLisle,0,0.0018439275166174964,1,2,3.0
Tabu,0,0.0031254277991206066,0,5,8.0
Thompson Street,0,0.0018583775325780082,0,3,3.0
Timidly,0,0.0019563648346859275,0,2,4.0
Trevor,0,0.002616892705259375,0,5,7.0
Tuesday,0,0.003826088529026301,5,10,20.0
Urmila,0,0.003712694817102781,0,8,16.0
Urmila Jones,0,0.0020622049441692903,0,4,4.0
Urmila Sonam,0,0.02559160419863793,10,29,187.0
Vinay,0,0.0024100338264732386,0,1,2.0
Vinay Gully,0,0.00428206940192141,0,5,8.0
Vishal Karisma,0,0.002812754806482999,0,2,2.0
Yani,0,0.0016337336002979416,0,1,1.0
Yashwant,0,0.002205798556182466,0,3,6.0
Zeeshan,0,0.0016304129532441628,0,1,1.0
a,0,0.15550225282869687,47,77,1130.0
care,0,0.005071440757576944,1,10,30.0
don,0,0.014197786971915283,1,26,104.0
fate,0,0.003477059895919823,2,10,17.0
frank,0,0.002306552835189188,0,5,5.0
jack,0,0.0025637883744888588,0,5,6.0
sage,0,0.0016116744269934155,0,1,1.0
