char_id,name,story_title
1,Page,Silver Blaze
2,Harris,Silver Blaze
3,Hall Tyson,Silver Blaze
4,Pryor Parsons,Silver Blaze
5,Colonel Atkinson,Silver Blaze
6,Inspector Miller,Silver Blaze
7,Portman Blunt,Silver Blaze
8,O'hara Lautner,Silver Blaze
9,Jason Lawrence,Silver Blaze
10,Walken Arnold,Silver Blaze
11,Lautner,Silver Blaze
12,Tyson,Silver Blaze
13,Mrs. Tyson,Silver Blaze
14,I,Silver Blaze
15,Mr. Ha,Silver Blaze
16,Mr. Harris,Silver Blaze
17,Dr. Page,Silver Blaze
18,Blunt,Silver Blaze
19,Miller,Silver Blaze
20,Inspector,Silver Blaze
21,Madame Te,Silver Blaze
22,Madame Teller,Silver Blaze
23,Dunst Bell,Silver Blaze
24,Lamarr,Silver Blaze
25,Colonel,Silver Blaze
26,Williams,Silver Blaze
27,h,Silver Blaze
28,Mr. Hall Tyson,Silver Blaze
29,Sherlock Harris,Silver Blaze
30,Mr. Hawke Hutton,Silver Blaze
31,Colonel Cobain,Silver Blaze
32,Lord Hart,Silver Blaze
33,Duke of Balmoral,Silver Blaze
34,Lord Day,Silver Blaze
