node,is_victim,pagerank,victim_connection_weight,degree,strength
Chaitanya,0,0.06666666666666667,0,1,1.0
Disha,0,0.042691970050806376,0,2,2.0
Dr. Chandan,0,0.035372946340417086,0,1,2.0
Inspector Pallavi,0,0.06790060809753115,0,2,5.0
Kajol Santhosh,1,0.15621160809592533,0,5,14.0
Krish Kiran,0,0.07675404816679049,5,2,7.0
Kriti,0,0.06378126044617638,1,3,5.0
Lavanya,0,0.02933334866664053,0,1,2.0
Leena,0,0.021851280134155826,0,1,1.0
Mr. Chaitanya Ronit,0,0.06666666666666667,0,1,1.0
Mr. Prerna,0,0.0895540853484702,0,4,6.0
Mr. Sanjeev Shubham,0,0.06845894503138258,1,4,4.0
Roshan,0,0.042691970050806376,0,2,2.0
Sunny Kuldeep,0,0.10235239544171798,4,4,9.0
Vicky Pranav,0,0.06971220079584634,3,3,5.0
