character1,character2,count
Mr. Franklin Van Burnam,Van,290
Mr. Franklin,Van,43
Howard,Van,42
Van,by,42
Mr. Franklin,Mr. Franklin Van Burnam,38
Mr. Franklin Van Burnam,by,38
Howard,Mr. Franklin Van Burnam,37
Howard,Mrs. Howard Van Burnam,29
Mr. Franklin Van Burnam,Mrs. Howard Van Burnam,29
Mrs. Howard Van Burnam,Van,29
Howard,by,26
Burnams,Van,19
Louise,Mr. Franklin Van Burnam,17
Louise,Van,17
Howard,Mr. Franklin,16
Louise,Louise Van Burnam,15
Louise Van Burnam,Mr. Franklin Van Burnam,15
Louise Van Burnam,Van,15
Mr. Franklin,by,15
Ella Althorpe,by,14
Misses Van Burnam,Mr. Franklin Van Burnam,13
Misses Van Burnam,Van,13
Caroline,Isabella,11
Ebenezer Gryce,by,11
by,taken,11
Miss Amelia,Miss Amelia Butterworth,10
John,John Randolph,9
Howard,t,8
Lena,by,8
Mr. Franklin Van Burnam,Mr. Silas Van Burnam,8
Mr. Silas Van Burnam,Van,8
Ruth Oliver,by,8
Miss Amelia Butterworth,t,6
Ebenezer Gryce,Miss Amelia,5
Ebenezer Gryce,Miss Amelia Butterworth,5
Mrs. Howard Van Burnam,by,5
Van,taken,5
Ebenezer Gryce,taken,4
Ella Althorpe,Miss Amelia Butterworth,4
Ella Althorpe,Ruth Oliver,4
Howard,taken,4
Isabella,t,4
Miss Amelia Butterworth,Mr. Franklin,4
Miss Amelia Butterworth,by,4
Misses Van Burnam,by,4
by,t,4
Araminta,Miss Amelia,3
Caroline,Mr. Franklin,3
Caroline,by,3
Ebenezer Gryce,Ruth Oliver,3
Ella Althorpe,Mr. Franklin Van Burnam,3
Ella Althorpe,Van,3
Haddam,Mr. Franklin Van Burnam,3
Haddam,Van,3
Howard,Miss Amelia Butterworth,3
Isabella Van Burnam,Mr. Franklin Van Burnam,3
Isabella Van Burnam,Van,3
Lena,t,3
Louise,by,3
Louise Van Burnam,by,3
Miss Amelia Butterworth,Van,3
Mr. Callahan,by,3
Mrs. James Pope,by,3
Olive,Olive Randolph,3
Ruth Oliver,taken,3
aback,taken,3
anna,by,3
Burnams,taken,2
Caroline,Howard,2
Crescenze,Ruth Oliver,2
Ebenezer Gryce,Ella Althorpe,2
Ebenezer Gryce,Howard,2
Ebenezer Gryce,Mr. Franklin Van Burnam,2
Ebenezer Gryce,Van,2
Ebenezer Gryce,inspector,2
Ella Althorpe,Mrs. James Pope,2
Ella Althorpe,t,2
Haddam,Susan Ferguson,2
Howard,John,2
Howard,John Randolph,2
Howard,Louise,2
Howard,Miss Louise Stapleton,2
Howard,Randolph Stone,2
John,Mr. Franklin,2
John,Mr. Franklin Van Burnam,2
John,Randolph Stone,2
John,Van,2
John,by,2
John Randolph,Mr. Franklin,2
John Randolph,Mr. Franklin Van Burnam,2
John Randolph,Randolph Stone,2
John Randolph,Van,2
John Randolph,by,2
Lena,Miss Amelia Butterworth,2
Lena,Sarah,2
Miss Amelia Butterworth,Mr. Franklin Van Burnam,2
Miss Amelia Butterworth,Mrs. James Pope,2
Mr. Franklin,Mr. Silas Van Burnam,2
Mr. Franklin,Randolph Stone,2
Mr. Franklin,t,2
Mr. Franklin Van Burnam,Randolph Stone,2
Mr. Franklin Van Burnam,taken,2
Randolph Stone,Ruth Oliver,2
Randolph Stone,Van,2
Ruth Oliver,t,2
anna,green,2
by,green,2
by,inspector,2
by,providence,2
Altman,Ebenezer Gryce,1
Altman,Haddam,1
Altman,Mr. Franklin,1
Altman,Mr. Franklin Van Burnam,1
Altman,Mrs. James Pope,1
Altman,Van,1
Altman,by,1
Araminta,by,1
Belle,t,1
Burnams,Howard,1
Burnams,Mr. Franklin,1
Burnams,by,1
Caroline,t,1
Caroline,taken,1
Crescenze,taken,1
D'Aubigny,Isabella,1
D'Aubigny,t,1
Ebenezer Gryce,Lena,1
Ebenezer Gryce,Mr. Franklin,1
Ebenezer Gryce,Mr. Silas Van Burnam,1
Ebenezer Gryce,t,1
Ella Althorpe,Howard,1
Ella Althorpe,John,1
Ella Althorpe,John Randolph,1
Ella Althorpe,Louise,1
Ella Althorpe,Louise Van Burnam,1
Ella Althorpe,Randolph Stone,1
Ella Althorpe,providence,1
Ella Althorpe,taken,1
Haddam,by,1
Howard,Isabella,1
Howard,Louise Van Burnam,1
Isabella,Isabella Van Burnam,1
Isabella,Mr. Franklin Van Burnam,1
