node,is_victim,pagerank,victim_connection_weight,degree,strength
Altman,0,0.005764790048971402,0,7,7.0
Araminta,0,0.005275726839821042,0,2,4.0
Belle,0,0.0033729613376678813,0,1,1.0
Burnams,0,0.009562640724786197,0,5,24.0
Caroline,0,0.013122527234704579,0,6,21.0
Crescenze,0,0.004300694869929755,0,2,3.0
D'Aubigny,0,0.003970798708283435,0,2,2.0
Ebenezer Gryce,0,0.02284731239525269,0,15,43.0
Ella Althorpe,0,0.02069294885567386,1,16,42.0
Haddam,0,0.007942404363800821,0,5,10.0
Howard,0,0.06143939576108112,1,19,183.0
Isabella,0,0.014066050968455802,0,7,20.0
Isabella Van Burnam,0,0.004874479605373069,0,3,7.0
Jane Pigot,0,0.003072592971988108,0,1,1.0
John,0,0.011818995237173145,0,9,23.0
John Randolph,0,0.011818995237173145,0,9,23.0
Josephine Paolucci,0,0.005526521268378567,0,2,2.0
Lena,0,0.013134275054888655,0,6,17.0
Louise,0,0.017844450587897753,15,7,56.0
Louise Van Burnam,1,0.016498111845008087,0,7,51.0
Miss Amelia,0,0.016453850899684236,0,5,20.0
Miss Amelia Butterworth,0,0.025426277030898576,0,12,46.0
Miss Louise Stapleton,0,0.004402424486934436,0,5,6.0
Misses Van Burnam,0,0.01087265339299771,0,3,30.0
Mr. Alvord,0,0.0033729613376678813,0,1,1.0
Mr. Callahan,0,0.003977625004008579,0,1,3.0
Mr. Franklin,0,0.04682504813468325,0,17,135.0
Mr. Franklin Van Burnam,0,0.14979543063843329,15,24,512.0
Mr. Silas Van Burnam,0,0.007816045166713853,0,4,19.0
Mrs. Howard Van Burnam,0,0.029306853075281535,1,8,96.0
Mrs. James Pope,0,0.007050155365750911,0,5,9.0
Olive,0,0.009100103165006533,0,2,4.0
Olive Randolph,0,0.009100103165006533,0,2,4.0
Randolph Stone,0,0.008507857795922079,0,9,16.0
Ruth Oliver,0,0.016545228016521387,0,11,28.0
Sarah,0,0.00409126082828983,0,1,2.0
Sibley,0,0.0033729613376678813,0,1,1.0
Susan Ferguson,0,0.004527910703787727,0,2,3.0
Suzanne Shell,0,0.005526521268378567,0,2,2.0
Van,0,0.16209406926309514,15,25,549.0
aback,0,0.004332754990238668,0,1,3.0
anna,0,0.008358522227100583,0,3,6.0
by,0,0.10916091440741181,3,38,232.0
g,0,0.003177726853188045,0,1,1.0
gown,0,0.003177726853188045,0,1,1.0
green,0,0.005945962065765228,0,2,4.0
inspector,0,0.0065640037527992506,0,7,9.0
iv,0,0.0034771111066554438,0,1,1.0
madonna,0,0.003177726853188045,0,1,1.0
providence,0,0.004870040940875302,0,4,5.0
r,0,0.003177726853188045,0,1,1.0
rohlfs,0,0.004361869921771503,0,2,2.0
t,0,0.030108020213553167,0,20,43.0
taken,0,0.024997878968037655,0,15,41.0
