canonical_name,alias_name
Mr. Sorting Wands Veela,
Mr. Sorting Wands Veela,Veela
Mr. Sorting Wands Veela,Wands Veela
Mr. Sorting Wands Veela,MR. WANDS VEELA
Mr. Sorting Wands Veela,Mr. Wands Veela
Mr. Sorting Wands Veela,Sorting Wands Veela
Mrs. Albus Wands Veela,
Mrs. Albus Wands Veela,Mrs. Wands Veela
Mrs. Albus Wands Veela,Albus Wands Veela
Mr. Albus Wands Veela,
Fenrir Wands Veela,
Fenrir Wands Veela,Miss Wands Veela
Riddle Wands Veela,
Mrs. Voldemort Prince,
Mrs. Voldemort Prince,Voldemort Prince
Mr. Voldemort Prince,
Miss Snape Credence,
Miss Snape Credence,Credence
Miss Snape Credence,MISS Credence
Miss Snape Credence,Miss Credence
Miss Snape Credence,Snape Credence
Crumplehorn Dennis,
Crumplehorn Dennis,Mr. Dennis
Miss Riddle Diagon,
Miss Riddle Diagon,Diagon
Miss Riddle Diagon,Miss Diagon
Dennis Witchcraft,
Dennis Witchcraft,Witchcraft
Dennis Witchcraft,Mr. Witchcraft
Karkaroff Fawkes,
Binns Aberforth,
Vernon Flitwick,
Azkaban Malfoy,
Phoenix Goblet,
Phoenix Goblet,Goblet
Phoenix Goblet,Miss Goblet
Wands Deathly,
Padma Dennis,
Albus Wands,
Albus Wands,Wands
Mrs. Wands,
Mr. Wands,
Where Hat,
Where Hat,Mrs. Hat
Miss Acromantula,
Miss Acromantula,Acromantula
Miss Acromantula,_Acromantula_
Mrs. Marauder,
Mr. Manticore,
Mrs. Firebolt,
Miss Bludger,
Invisibility,
Dr. Platform,
Mr. Artifact,
Mr. Artifact,Artifact
Mr. Narcissa,
Mr. Narcissa,Narcissa
Crumplehorn,
Mr. Bludger,
Miss Pomona,
Mr. Snidget,
Mr. Snidget,Snidget
Mrs. Crimes,
Mrs. Crimes,Crimes
Mr. Sorting,
Mr. Sorting,Sorting
Mr. Crimes,
Miss Pansy,
Miss Pansy,Pansy
Miss Snape,
Miss Snape,Snape
Dr. Chaser,
Mr. Albus,
Mr. Albus,Albus
Fantastic,
Mrs. Tina,
Triwizard,
Mr. Colin,
Mr. Colin,Colin
Hogwarts,
Kreacher,
Basilisk,
Slughorn,
Quaffle,
Alastor,
Fenrir,
Riddle,
School,
Ginny!,
Ginny!,Ginny
Nimbus,
Horace,
Fleur,
Jacob,
Molly,
Barty,
Katie,
Padma,
Lily,
Luna,
Leta,
Umbridge,
Wormtail,
Seeker,
Cho,
Thestral,
Patronus,
Fire,
Dumbledore,
Severus,
Niffler,
Secrets,
Lovegood,
Keeper,
Chimaera,
Dungbomb,
Bathilda,
Remus,
Hippogriff,
Wizardry,
Rose,
Find,
Longbottom,
Snitch,
Bowtruckle,
Weasley's,
Lucius,
Philosopher,
Dudley,
Buckbeak,
Hallows,
