canonical_name,alias_name
Duke of Holdernesse,
Captain Map Hat,
Captain Map Hat,Hat
Captain Map Hat,Map Hat
Cardinal Slytherin,
Hogsmeade Niffler,
Captain Lethifold,
Captain Lethifold,Lethifold
Sherlock Muggle,
Sherlock Muggle,Muggle
Sherlock Muggle,Mr. Muggle
Pomona Stanley,
Stanley Pomona,
Stanley Pomona,Pomona
Portkey Potter,
Fred Umbridge,
Graphorn Map,
Newt Malfoy,
Mrs. Philosopher,
Dr. Quirrell,
Dr. Quirrell,Quirrell
Broomstick,
Bowtruckle,
Harpooner,
Ribston,
Nimbus,
Vernon,
Dundee,
Ginny,
Fred,
holmes,
tosca,
wilson,
woodman,
lee,
peter,
carey,
basil,
allardyce,
hopkins,
watson,
black,
slater,
jhn,
hopkin,
john,
neligan,
dawson,
sumner,
hudson,
tut,
james,
lancaster,
hugh,
pattins,
patrick,
cairns,
