node,is_victim,pagerank,victim_connection_weight,degree,strength
Captain Lethifold,0,0.024813089284730035,0,1,1.0
Captain Map Hat,1,0.1401987169641281,0,5,7.0
Cardinal Slytherin,0,0.07692307692307693,0,1,1.0
Duke of Holdernesse,0,0.024813089284730035,0,1,1.0
Fred,0,0.07804908870884694,2,3,4.0
Ginny,0,0.07692307692307693,0,1,1.0
Harpooner,0,0.02856249707973712,1,1,1.0
Portkey Potter,0,0.045147856990867194,1,2,2.0
Sherlock Muggle,0,0.18740133786503077,1,5,12.0
Stanley Pomona,0,0.11773548350860948,0,1,8.0
Vernon,0,0.07692307692307693,0,1,1.0
black,0,0.0455865326210127,2,1,2.0
tut,0,0.07692307692307693,0,1,1.0
