node,is_victim,pagerank,victim_connection_weight,degree,strength
Charles Augustus Ranjit,0,0.18253433756261953,1,3,5.0
Colonel Pramod,0,0.09090909090909091,0,1,1.0
Dr. Aishwarya,0,0.11497867852230644,0,2,3.0
Jaya,0,0.0462141058317743,0,1,1.0
Lady Yashwant,1,0.0909823730829776,0,2,2.0
Lady Yashwant Medha,0,0.05230342224921723,1,1,1.0
Miss Riya,0,0.09090909090909091,0,1,1.0
Mr. Dharmendra,0,0.04652401422367783,0,1,1.0
Mr. Kiara Mayank,0,0.19345412141100596,1,4,5.0
Tejasswi Ranjit,1,0.04466675107456171,0,1,1.0
miles,0,0.04652401422367783,0,1,1.0
