char_id,name,story_title
1,Sherlock Holmes,The Adventure of Charles Augustus Milverton
2,Watson,The Adventure of Charles Augustus Milverton
3,Charles Augustus Milverton,The Adventure of Charles Augustus Milverton
4,Milverton,The Adventure of Charles Augustus Milverton
5,I,The Adventure of Charles Augustus Milverton
6,the fellow,The Adventure of Charles Augustus Milverton
7,Lady Eva Blackwell,The Adventure of Charles Augustus Milverton
8,Mr. Pickwick,The Adventure of Charles Augustus Milverton
9,Holmes,The Adventure of Charles Augustus Milverton
10,Dr. Watson,The Adventure of Charles Augustus Milverton
11,Lady Eva,The Adventure of Charles Augustus Milverton
12,Miss Miles,The Adventure of Charles Augustus Milverton
13,Colonel Dorking,The Adventure of Charles Augustus Milverton
14,Escott,The Adventure of Charles Augustus Milverton
15,Agatha,The Adventure of Charles Augustus Milverton
16,The Countess,The Adventure of Charles Augustus Milverton
17,Countess d'Albert,The Adventure of Charles Augustus Milverton
18,Charles Milverton,The Adventure of Charles Augustus Milverton
19,Lestrade,The Adventure of Charles Augustus Milverton
20,the great nobleman and statesman,The Adventure of Charles Augustus Milverton
