node,is_victim,pagerank,victim_connection_weight,degree,strength
Dr. Astoria,0,0.07028487374946947,0,3,5.0
Lady Gryffindor,0,0.08333333333333333,2,1,2.0
Lady Gryffindor Artifact,1,0.08333333333333333,0,1,2.0
Mr. Minerva Keeper,0,0.03699278600641344,0,1,2.0
My companion,0,0.03699278600641344,0,1,2.0
School Umbridge,0,0.14407384109264115,0,5,10.0
Sir Pettigrew,0,0.17584734544319963,0,7,13.0
Sir Pettigrew Leta,0,0.035495249255143524,0,1,2.0
Tina,0,0.15748440687855336,0,5,13.0
Tina Old Place,0,0.06518497857922183,0,2,5.0
Tina Prince,0,0.07548181706713433,0,2,6.0
Viktor,0,0.035495249255143524,0,1,2.0
