char_id,name,story_title
1,Sherlock Holmes,The Adventure of Shoscombe Old Place
2,Watson,The Adventure of Shoscombe Old Place
3,Merivale,The Adventure of Shoscombe Old Place
4,Sir Robert Norberton,The Adventure of Shoscombe Old Place
5,Sam Brewer,The Adventure of Shoscombe Old Place
6,Holmes,The Adventure of Shoscombe Old Place
7,John Mason,The Adventure of Shoscombe Old Place
8,Lady Beatrice Falder,The Adventure of Shoscombe Old Place
9,Robert Norberton,The Adventure of Shoscombe Old Place
10,Mr. John Mason,The Adventure of Shoscombe Old Place
11,Sir Robert,The Adventure of Shoscombe Old Place
12,Mr. Holmes,The Adventure of Shoscombe Old Place
13,Stephens,The Adventure of Shoscombe Old Place
14,Lady Beatrice,The Adventure of Shoscombe Old Place
15,Mason,The Adventure of Shoscombe Old Place
16,Carrie Evans,The Adventure of Shoscombe Old Place
17,Mr. Mason,The Adventure of Shoscombe Old Place
18,Dr. Watson,The Adventure of Shoscombe Old Place
19,Harvey,The Adventure of Shoscombe Old Place
20,Josiah Barnes,The Adventure of Shoscombe Old Place
21,Characters,The Adventure of Shoscombe Old Place
22,Mr. Norlett,The Adventure of Shoscombe Old Place
23,Mrs. Norlett (Evans),The Adventure of Shoscombe Old Place
24,Norlett,The Adventure of Shoscombe Old Place
25,Shoscombe Prince,The Adventure of Shoscombe Old Place
