char_id,name,story_title
1,Divya Charu,The Adventure of Wisteria Lodge
2,Kalyani Urmila,The Adventure of Wisteria Lodge
3,Sir Saajan,The Adventure of Wisteria Lodge
4,Vipin,The Adventure of Wisteria Lodge
5,Kuldeep,The Adventure of Wisteria Lodge
6,Vikrant,The Adventure of Wisteria Lodge
7,Farhan Bhumi,The Adventure of Wisteria Lodge
8,Colonel Rani,The Adventure of Wisteria Lodge
9,Mr. Kuldeep,The Adventure of Wisteria Lodge
10,Mr. Farhan Bhumi,The Adventure of Wisteria Lodge
11,Dr. Vikrant,The Adventure of Wisteria Lodge
12,Mrs. Sania,The Adventure of Wisteria Lodge
13,Mahesh Sanjay,The Adventure of Wisteria Lodge
14,Mahesh Akshara,The Adventure of Wisteria Lodge
15,John Farhan Bhumi,The Adventure of Wisteria Lodge
16,Chiranjeevi,The Adventure of Wisteria Lodge
17,Aloysius Pramod,The Adventure of Wisteria Lodge
18,Akanksha,The Adventure of Wisteria Lodge
19,Pankaj,The Adventure of Wisteria Lodge
20,Sanjay,The Adventure of Wisteria Lodge
21,Sherlock Kuldeep,The Adventure of Wisteria Lodge
22,Pramod,The Adventure of Wisteria Lodge
23,Urmila,The Adventure of Wisteria Lodge
24,Pavan,The Adventure of Wisteria Lodge
25,Mahesh,The Adventure of Wisteria Lodge
26,Mr. Mahesh,The Adventure of Wisteria Lodge
27,Mr. Akshara,The Adventure of Wisteria Lodge
28,Saira,The Adventure of Wisteria Lodge
29,Mr. Pramod,The Adventure of Wisteria Lodge
30,D,The Adventure of Wisteria Lodge
31,Mr. Sanjay,The Adventure of Wisteria Lodge
32,Akshara,The Adventure of Wisteria Lodge
33,Varun,The Adventure of Wisteria Lodge
34,Surrey officer,The Adventure of Wisteria Lodge
35,Lord Sahil,The Adventure of Wisteria Lodge
36,Sir Ronak Pushkar,The Adventure of Wisteria Lodge
37,Mr. Mansi Mansi,The Adventure of Wisteria Lodge
38,Mr. Vinay Ranbir,The Adventure of Wisteria Lodge
39,Rev. Joshua Madhavan,The Adventure of Wisteria Lodge
40,Sagar,The Adventure of Wisteria Lodge
41,Abir,The Adventure of Wisteria Lodge
42,Imran,The Adventure of Wisteria Lodge
43,Asin,The Adventure of Wisteria Lodge
44,the Englishman,The Adventure of Wisteria Lodge
45,Mr. Nithya,The Adventure of Wisteria Lodge
46,Mr. Pritam,The Adventure of Wisteria Lodge
47,Miss Parth,The Adventure of Wisteria Lodge
48,Lakshya Taapsee,The Adventure of Wisteria Lodge
49,Nithya,The Adventure of Wisteria Lodge
50,Taapsee,The Adventure of Wisteria Lodge
51,Santhosh Chitrangada,The Adventure of Wisteria Lodge
52,Nitin Chitrangada,The Adventure of Wisteria Lodge
53,Anjali Vidya,The Adventure of Wisteria Lodge
54,Chitrangada,The Adventure of Wisteria Lodge
55,Pritam,The Adventure of Wisteria Lodge
56,Chandan,The Adventure of Wisteria Lodge
57,Saket,The Adventure of Wisteria Lodge
58,Marquess of Montalva,The Adventure of Wisteria Lodge
59,Yami Vinita,The Adventure of Wisteria Lodge
60,Manju,The Adventure of Wisteria Lodge
