node,is_victim,pagerank,victim_connection_weight,degree,strength
Constable Stone,0,0.018936064407990314,0,1,2.0
David,0,0.051732877986317066,0,3,4.0
Don,0,0.012326370040691089,0,1,1.0
Doyle Signor,0,0.03730504959588198,0,2,3.0
Dr. Arthur,0,0.04771241842147315,3,4,6.0
Durando,0,0.016762868777429926,0,1,1.0
Esher Jove,0,0.10843116730324216,0,9,14.0
George,0,0.02690374281775585,0,2,2.0
Godspeed Inspector,0,0.019715496605620095,1,2,2.0
Godspeed Murillo,0,0.03820699719355952,1,5,5.0
Henderson Signor,0,0.07158458546627158,0,4,6.0
Hudson Lee,0,0.02148301387993544,0,2,2.0
John,0,0.01270104354186166,0,1,1.0
John Carruthers Eckermann,0,0.048930691262509485,1,5,6.0
Juan,0,0.026480106125574342,0,2,2.0
Lopez,0,0.054870085645185175,0,6,6.0
Miss Lodge,0,0.023553150408534517,0,2,2.0
Mr. Harringby,0,0.08485645657726418,0,6,11.0
Scott Aloysius,0,0.02668327214265514,0,3,3.0
Sherlock,0,0.04371445069505874,4,3,6.0
Sherlock Garcia,1,0.07262262919059183,0,5,10.0
Sir Lucas Dolores,0,0.038461538461538464,0,1,1.0
Sir Williams Eccles,0,0.02148301387993544,0,2,2.0
Wisteria,0,0.023553150408534517,0,2,2.0
marx,0,0.01252822070304994,0,1,1.0
warner,0,0.038461538461538464,0,1,1.0
