node,is_victim,pagerank,victim_connection_weight,degree,strength
Alok,0,0.018656618117245966,0,1,1.0
Amrita,0,0.022027196015108462,0,1,1.0
Catherine Asin,0,0.021176169507600786,0,1,1.0
Countess of Tarun,1,0.04644610443023183,0,2,3.0
Irene Adler,0,0.058823529411764705,0,1,1.0
Krish,0,0.046601271461359034,0,3,3.0
Miss Chaitanya Shreya,0,0.058823529411764705,0,1,1.0
Mrs. Mitali,0,0.04094976515632338,0,2,2.0
Mrs. Neerja Yashwant,0,0.032446076122208345,0,2,2.0
Nikita Pallavi,0,0.10172810935131428,2,4,7.0
Saket,0,0.13019117177540232,0,2,12.0
Saket Rajesh,0,0.19665713053938566,0,7,17.0
Salman,0,0.03781021405550941,0,2,2.0
Sanjeev Siddharth,0,0.0911800742928554,1,4,6.0
Zara,0,0.026226750174207857,0,1,1.0
b,0,0.03781021405550941,0,2,2.0
h,0,0.032446076122208345,0,2,2.0
