char_id,name,story_title
1,Harry,The Adventure of the Bruce-Partington Plans
2,Tonks,The Adventure of the Bruce-Partington Plans
3,Albus,The Adventure of the Bruce-Partington Plans
4,Albus Harry,The Adventure of the Bruce-Partington Plans
5,Thestral,The Adventure of the Bruce-Partington Plans
6,Malfoy,The Adventure of the Bruce-Partington Plans
7,Friend,The Adventure of the Bruce-Partington Plans
8,Sir Fleur Sorting,The Adventure of the Bruce-Partington Plans
9,Colonel Snitch Sorting,The Adventure of the Bruce-Partington Plans
10,Mr. Fenrir Rubeus,The Adventure of the Bruce-Partington Plans
11,Them Dungbomb,The Adventure of the Bruce-Partington Plans
12,Admiral Katie,The Adventure of the Bruce-Partington Plans
13,Fenrir Rubeus,The Adventure of the Bruce-Partington Plans
14,Mr. Harry,The Adventure of the Bruce-Partington Plans
15,My friend,The Adventure of the Bruce-Partington Plans
16,Colonel Snitch,The Adventure of the Bruce-Partington Plans
17,Niffler,The Adventure of the Bruce-Partington Plans
18,Miss Diggory Karkaroff,The Adventure of the Bruce-Partington Plans
19,Miss Karkaroff,The Adventure of the Bruce-Partington Plans
20,Woolwich,The Adventure of the Bruce-Partington Plans
21,Dungbomb,The Adventure of the Bruce-Partington Plans
22,Quirrell Peeves,The Adventure of the Bruce-Partington Plans
23,Louis La Rothière,The Adventure of the Bruce-Partington Plans
24,Dursley,The Adventure of the Bruce-Partington Plans
25,S.H.,The Adventure of the Bruce-Partington Plans
26,Caulfield Gardens,The Adventure of the Bruce-Partington Plans
27,Arthur,The Adventure of the Bruce-Partington Plans
28,James,The Adventure of the Bruce-Partington Plans
29,Colonel Sorting,The Adventure of the Bruce-Partington Plans
30,Malfoy Harry,The Adventure of the Bruce-Partington Plans
