character1,character2,count
Malfoy Karkaroff,Miss Malfoy,5
Malfoy Karkaroff,Miss S. Karkaroff,5
Miss Malfoy,Miss S. Karkaroff,5
Aberforth Barty,Dungbomb,4
Miss Malfoy,Viktor,4
Crimes,Crimes Flitwick,3
George,Miss S. Karkaroff,3
Miss Malfoy,Them,3
Aberforth Barty,Miss S. Karkaroff,2
Dungbomb,Them,2
Oliver,Them,2
Padfoot,Padfoot Veela,2
Aberforth Barty,Lestrange,1
Aberforth Barty,Sir Peverell Fantastic,1
Aberforth Barty,Them,1
Crimes,Viktor,1
Crimes Flitwick,James Flitwick,1
Crimes Flitwick,Miss Malfoy,1
Dungbomb,Quaffle,1
George,Miss Malfoy,1
Them,Viktor,1
