char_id,name,story_title
1,Sherlock Holmes,The Adventure of the Cardboard Box
2,Holmes,The Adventure of the Cardboard Box
3,Watson,The Adventure of the Cardboard Box
4,General Gordon,The Adventure of the Cardboard Box
5,Henry Ward Beecher,The Adventure of the Cardboard Box
6,Beecher,The Adventure of the Cardboard Box
7,Miss Cushing,The Adventure of the Cardboard Box
8,Miss Susan Cushing,The Adventure of the Cardboard Box
9,Lestrade,The Adventure of the Cardboard Box
10,my companion,The Adventure of the Cardboard Box
11,Cushing,The Adventure of the Cardboard Box
12,Sarah,The Adventure of the Cardboard Box
13,Mary,The Adventure of the Cardboard Box
14,Jim,The Adventure of the Cardboard Box
15,Mr. Browner,The Adventure of the Cardboard Box
16,Jim Browner,The Adventure of the Cardboard Box
17,holmes,The Adventure of the Cardboard Box
18,watson,The Adventure of the Cardboard Box
19,miss cushing,The Adventure of the Cardboard Box
20,lestrade,The Adventure of the Cardboard Box
21,Paganini,The Adventure of the Cardboard Box
22,Miss S. Cushing,The Adventure of the Cardboard Box
23,Browner,The Adventure of the Cardboard Box
24,Miss Sarah Cushing,The Adventure of the Cardboard Box
25,Algar,The Adventure of the Cardboard Box
26,Mrs. Browner,The Adventure of the Cardboard Box
27,James Browner,The Adventure of the Cardboard Box
28,Aldridge,The Adventure of the Cardboard Box
29,G. Lestrade,The Adventure of the Cardboard Box
30,Inspector Montgomery,The Adventure of the Cardboard Box
31,Sarah Cushing,The Adventure of the Cardboard Box
32,Alec Fairbairn,The Adventure of the Cardboard Box
33,Fairbairn,The Adventure of the Cardboard Box
34,Niagara,The Adventure of the Cardboard Box
35,Alec,The Adventure of the Cardboard Box
