char_id,name,story_title
1,Zara Shruti,The Adventure of the Copper Beeches
2,Vinita,The Adventure of the Copper Beeches
3,Hrithik Nithya,The Adventure of the Copper Beeches
4,Mr. Holmes,The Adventure of the Copper Beeches
5,Rohit Farhan,The Adventure of the Copper Beeches
6,Miss Farhan,The Adventure of the Copper Beeches
7,Shruti,The Adventure of the Copper Beeches
8,Colonel Aishwarya Ranbir,The Adventure of the Copper Beeches
9,Westaway's,The Adventure of the Copper Beeches
10,Miss Tanushree,The Adventure of the Copper Beeches
11,Mr. Shruti,The Adventure of the Copper Beeches
12,Shabana Gaurav,The Adventure of the Copper Beeches
13,Riddhi,The Adventure of the Copper Beeches
14,Farhan,The Adventure of the Copper Beeches
15,Gaurav,The Adventure of the Copper Beeches
16,Mr. Gaurav,The Adventure of the Copper Beeches
17,HUNTER,The Adventure of the Copper Beeches
18,Lord Pavan,The Adventure of the Copper Beeches
19,Mrs. Gaurav,The Adventure of the Copper Beeches
20,Mrs. Farhan,The Adventure of the Copper Beeches
21,Edward,The Adventure of the Copper Beeches
22,Shabana,The Adventure of the Copper Beeches
23,Janhvi,The Adventure of the Copper Beeches
24,Vipin,The Adventure of the Copper Beeches
25,I,The Adventure of the Copper Beeches
26,the child,The Adventure of the Copper Beeches
27,Rucastles,The Adventure of the Copper Beeches
28,Miss Riddhi Gaurav,The Adventure of the Copper Beeches
29,Miss Gaurav,The Adventure of the Copper Beeches
30,Mrs. Vipin,The Adventure of the Copper Beeches
31,He,The Adventure of the Copper Beeches
32,Kareena,The Adventure of the Copper Beeches
33,Mr. Kareena,The Adventure of the Copper Beeches
34,Miss Rohit Farhan,The Adventure of the Copper Beeches
