node,is_victim,pagerank,victim_connection_weight,degree,strength
Jephro,0,0.0806765183389803,1,3,3.0
Jephro Rucastle,0,0.05866673908097416,1,2,2.0
Miss Alice,0,0.03580828124668821,1,1,1.0
Miss Alice Rucastle,1,0.15650676423386112,0,6,6.0
Miss Stoper,0,0.03357137230952808,0,1,1.0
Miss Violet Hunter,0,0.1876262552000248,1,5,8.0
Mrs. Toller,0,0.07417455170032423,1,2,3.0
Sherlock Holmes,0,0.13540804615158458,0,2,6.0
Watson,0,0.05574328991985265,1,2,2.0
munro,0,0.09090909090909091,0,1,2.0
spence,0,0.09090909090909091,0,1,2.0
