canonical_name,alias_name
Cornish housekeeper Mrs. Cyndi,
Cornish housekeeper Mrs. Cyndi,Cyndi
Cornish housekeeper Mrs. Cyndi,Mrs. Cyndi
Miss Morgan Gyllenhaal,
Miss Morgan Gyllenhaal,Gyllenhaal
Miss Morgan Gyllenhaal,Morgan Gyllenhaal
Mr. Winfrey Phillips,
Mr. Winfrey Phillips,Phillips
Mr. Winfrey Phillips,Mr. Phillips
Mr. Bach Gyllenhaal,
Mr. Bach Gyllenhaal,Mr. Gyllenhaal
Mr. Bach Gyllenhaal,Bach Gyllenhaal
Dr. Gable Goodman,
Dr. Gable Goodman,Gable Goodman
Dr. Bruce Parsons,
Dr. Bruce Parsons,Parsons
Dr. Bruce Parsons,Dr. Parsons
Sir Grant Hutton,
Mendes Jagger,
Thomas Koshy,
Dr. Nicholson,
Mr. Palmer,
Mr. Palmer,Palmer
Kauffman,
Cornish,
Harris,
Barlow,
Morgan,
Adler,
david,
brannan,
al,
haines,
arthur,
doyle,
sherlock,
holmes,
moore,
agar,
roundhay,
mortimer,
tregennis,
owen,
george,
brenda,
tredannick,
wartha,
richards,
porter,
watson,
leon,
sterndale,
satan,
