node,is_victim,pagerank,victim_connection_weight,degree,strength
Brenda,0,0.08988274505394336,7,7,12.0
Brenda Tregennis,1,0.04497668385139527,3,2,6.0
Dr. Leon Sterndale,0,0.023459134465313905,0,1,1.0
George,0,0.06510102793566788,0,5,6.0
Mortimer,0,0.14930984917169926,25,3,27.0
Mr. Mortimer Tregennis,1,0.18555639487934097,3,4,33.0
Mr. Roundhay,0,0.023459134465313905,0,1,1.0
Mr. Sherlock Holmes,0,0.07012163005293963,1,5,5.0
Owen,0,0.053451974396332334,0,4,5.0
arthur,0,0.07692307692307693,0,1,1.0
doyle,0,0.07692307692307693,0,1,1.0
tredannick,0,0.07041763594094975,0,4,7.0
wartha,0,0.07041763594094975,0,4,7.0
