char_id,name,story_title
1,Harper,The Adventure of the Egyptian Tomb
2,Lord Willard,The Adventure of the Egyptian Tomb
3,Sir Hastings Hassan,The Adventure of the Egyptian Tomb
4,Mr. Guy,The Adventure of the Egyptian Tomb
5,King Men-her-Ra,The Adventure of the Egyptian Tomb
6,Tut-ankh-Amen,The Adventure of the Egyptian Tomb
7,Monsieur Harper,The Adventure of the Egyptian Tomb
8,Lady Hassan,The Adventure of the Egyptian Tomb
9,Dr. Tosswill,The Adventure of the Egyptian Tomb
10,Mr. Schneider,The Adventure of the Egyptian Tomb
11,Rupert,The Adventure of the Egyptian Tomb
12,Anubis,The Adventure of the Egyptian Tomb
13,Carnarvon,The Adventure of the Egyptian Tomb
14,Harperr,The Adventure of the Egyptian Tomb
15,Robert Guy,The Adventure of the Egyptian Tomb
16,Robert,The Adventure of the Egyptian Tomb
17,Captain Carnarvon,The Adventure of the Egyptian Tomb
18,Sir Bleibner Hassan,The Adventure of the Egyptian Tomb
19,Dr. Ames,The Adventure of the Egyptian Tomb
20,Tosswill,The Adventure of the Egyptian Tomb
21,Mr. Rupert,The Adventure of the Egyptian Tomb
22,Sir Bleibner,The Adventure of the Egyptian Tomb
23,Hassan,The Adventure of the Egyptian Tomb
24,monsieur le docteur,The Adventure of the Egyptian Tomb
25,Doctor Tosswill,The Adventure of the Egyptian Tomb
26,Doctor,The Adventure of the Egyptian Tomb
27,Ames,The Adventure of the Egyptian Tomb
28,Schneider,The Adventure of the Egyptian Tomb
29,Poirot,The Adventure of the Egyptian Tomb
30,Guy,The Adventure of the Egyptian Tomb
31,Hastings Hassan,The Adventure of the Egyptian Tomb
32,Dr.,The Adventure of the Egyptian Tomb
33,Robert Ames,The Adventure of the Egyptian Tomb
