node,is_victim,pagerank,victim_connection_weight,degree,strength
Anubis,0,0.06284558902842047,0,4,5.0
Carnarvon,0,0.03757126894545266,0,3,4.0
Doctor Tosswill,0,0.050990595686317974,0,5,6.0
Harper,0,0.08861017156585013,0,6,11.0
Lady Hassan,0,0.0806067473126652,0,2,11.0
Mr. Rupert,0,0.04253564109972925,1,3,3.0
Mr. Schneider,0,0.023012288423085475,0,1,1.0
Poirot,0,0.03136762162619228,0,1,2.0
Robert,0,0.04875200093116793,2,2,3.0
Robert Ames,0,0.09184959449186053,2,5,6.0
Robert Guy,1,0.07570329039809287,0,3,5.0
Sir Bleibner,0,0.1095879048042929,0,6,14.0
Sir Bleibner Hassan,0,0.06913206059814528,0,3,9.0
Sir Hastings Hassan,0,0.17111160588122315,0,7,23.0
willard,0,0.016323619207503862,0,1,1.0
