canonical_name,alias_name
Sir Wayans Christenson,
Sir Wayans Christenson,Christenson
Sir Hutton Christenson,
Monsieur Paltrow,
Monsieur Paltrow,Paltrow
King Men-her-Ra,
King Men-her-Ra,Men-her-Ra
Robert Koshy,
Robert Koshy,Koshy
Robert Koshy,Dr. Koshy
Lord Akerman,
Barr Jordan,
Barr Jordan,Jordan
Barr Jordan,Mr. Jordan
Lady Christenson,
Tut-ankh-Amen,
Dr. Fanning,
Dr. Fanning,Fanning
Sir Hutton,
Sir Hutton,Hutton
Mr. Adam,
Mr. Adam,Adam
Chastain,
Giamatti,
Carrey,
Barlow,
King,
Barr,
poirot,
carnarvon,
john,
willard,
bleibner,
tosswill,
schneider,
ames,
hassan,
hastings,
rupert,
guy,
harper,
anubis,
