character1,character2,count
Hardy Balmoral,Moran,2
Hudson,Merridew,2
Hudson,Oscar,2
Hudson,Sherlock,2
Merridew,Oscar,2
Merridew,Sherlock,2
Moran,Sebastian,2
Oscar,Sherlock,2
Hardy Balmoral,Sebastian,1
Herder Holmes,Sherlock,1
John,Mr. Lestrade Cabul,1
Milner,Milner Cabul,1
Milner,Mr. Lestrade Cabul,1
Milner Cabul,Mr. Lestrade Cabul,1
Moran,Morgan Sigerson,1
Moran,Sir James Parker,1
Moran,augustus,1
Moran,maynooth,1
Morgan Sigerson,maynooth,1
augustus,mycroft,1
augustus,sherpur,1
meunier,ronald,1
mycroft,sherpur,1
