canonical_name,alias_name
Mr. Morgan Collette,
Mr. Morgan Collette,Collette
Mr. Morgan Collette,Mr. Collette
Mr. Morgan Collette,Morgan Collette
Winfrey Charles,
Winfrey Charles,Charles
Firth Collette,
Pitt Reynolds,
Sir Pugh Bean,
Depp Tatum,
Professor Gyllenhaal,
Professor Gyllenhaal,Gyllenhaal
Lady Bradbury,
Mr. Channing,
Mrs. Franco,
Eisenberg,
Gooding,
Plummer,
Ferrell,
Winfrey,
Palmer,
Firth,
Adams,
Hart,
Fox,
Jagger,
Verne,
Christenson,
Neeson,
D'Arcy,
Ashley,
Zhang,
Hiddleston,
Hill,
Criss,
Diaz,
Mullen,
