node,is_victim,pagerank,victim_connection_weight,degree,strength
Alexis,0,0.03194384743911442,0,1,2.0
Anna,0,0.06666666666666667,0,1,2.0
Huret,0,0.05389023428245322,1,4,4.0
Mortimer,0,0.05389023428245322,1,4,4.0
Mr. Willoughby Smith,1,0.0652255656469789,0,4,5.0
Professor Coram,0,0.036165341325752,0,2,2.0
Sergius,0,0.020971923719557212,0,1,1.0
Sherlock Holmes,0,0.14652116051890335,1,6,12.0
Stanley Hopkins,0,0.08944990787178483,0,3,7.0
Susan,0,0.06666666666666667,0,1,2.0
Susan Tarlton,0,0.06666666666666667,0,1,2.0
Watson,0,0.03574815654074978,0,2,2.0
god,0,0.06666666666666667,0,1,2.0
halloa,0,0.031724172198728265,0,1,2.0
this,0,0.1678027895068583,2,8,13.0
