char_id,name,story_title
1,Mr. Kitty Damery,The Adventure of the Illustrious Client
2,Johnson,The Adventure of the Illustrious Client
3,Sir James Brun,The Adventure of the Illustrious Client
4,Sir Winter Lomax,The Adventure of the Illustrious Client
5,Colonel Sir James Brun,The Adventure of the Illustrious Client
6,Frankness,The Adventure of the Illustrious Client
7,Dr. Johnson,The Adventure of the Illustrious Client
8,Mr. Damery,The Adventure of the Illustrious Client
9,Professor Barton,The Adventure of the Illustrious Client
10,Colonel Gripes Harry,The Adventure of the Illustrious Client
11,Baron Lewis,The Adventure of the Illustrious Client
12,Colonel Brun,The Adventure of the Illustrious Client
13,Damery,The Adventure of the Illustrious Client
14,Sir James,The Adventure of the Illustrious Client
15,Watson,The Adventure of the Illustrious Client
16,Moran de Merville,The Adventure of the Illustrious Client
17,Lady,The Adventure of the Illustrious Client
18,General de Merville,The Adventure of the Illustrious Client
19,Peace Watson,The Adventure of the Illustrious Client
20,Wainwright George,The Adventure of the Illustrious Client
21,Moriarty,The Adventure of the Illustrious Client
22,Violet Holmes,The Adventure of the Illustrious Client
23,Holmes,The Adventure of the Illustrious Client
24,Kitty Damery,The Adventure of the Illustrious Client
25,Moran,The Adventure of the Illustrious Client
26,Baron,The Adventure of the Illustrious Client
27,Shinwell W,The Adventure of the Illustrious Client
28,Miss Hill Charlie,The Adventure of the Illustrious Client
29,Shomu Violet,The Adventure of the Illustrious Client
30,Leslie,The Adventure of the Illustrious Client
31,Le Lewis,The Adventure of the Illustrious Client
32,Miss Charlie,The Adventure of the Illustrious Client
33,Le,The Adventure of the Illustrious Client
34,Charlie,The Adventure of the Illustrious Client
35,Shomu,The Adventure of the Illustrious Client
36,Miss Adelbert,The Adventure of the Illustrious Client
37,Miss Moran de Merville,The Adventure of the Illustrious Client
38,Miss de Merville,The Adventure of the Illustrious Client
39,Sir Gruner Oakshott,The Adventure of the Illustrious Client
40,Sherlock,The Adventure of the Illustrious Client
41,Baron Le Lewis,The Adventure of the Illustrious Client
42,ohnson,The Adventure of the Illustrious Client
43,Christie,The Adventure of the Illustrious Client
44,Sotheby,The Adventure of the Illustrious Client
45,Dr. Porky Sebastian,The Adventure of the Illustrious Client
46,doctor,The Adventure of the Illustrious Client
47,I,The Adventure of the Illustrious Client
48,Hill Charlie,The Adventure of the Illustrious Client
49,Miss Kitty Charlie,The Adventure of the Illustrious Client
