node,is_victim,pagerank,victim_connection_weight,degree,strength
Dr. Johnson,0,0.040598143009156054,0,3,3.0
Le,0,0.07212907225572869,0,3,10.0
Le Lewis,0,0.07212907225572869,0,3,10.0
Miss Hill Charlie,0,0.05551227097171881,0,2,5.0
Miss Kitty Charlie,0,0.06544604629185659,0,2,6.0
Miss Moran de Merville,0,0.07800109342764523,0,4,10.0
Moran,0,0.07800109342764523,0,4,10.0
Mr. Kitty Damery,0,0.04356805779029324,0,2,2.0
Professor Barton,0,0.058823529411764705,0,2,2.0
Shinwell W,0,0.02733817371615585,0,1,1.0
Shomu,0,0.058823529411764705,0,1,2.0
Shomu Violet,0,0.058823529411764705,0,1,2.0
Sir James,0,0.058823529411764705,0,1,2.0
Sir James Brun,0,0.058823529411764705,0,1,2.0
Violet Holmes,0,0.05551227097171881,0,2,5.0
gripes,0,0.058823529411764705,0,2,2.0
harry,0,0.058823529411764705,0,2,2.0
