char_id,name,story_title
1,Mr. Fred Angelina,The Adventure of the Norwood Builder
2,Professor Order,The Adventure of the Norwood Builder
3,Luna,The Adventure of the Norwood Builder
4,Azkaban,The Adventure of the Norwood Builder
5,Weasley,The Adventure of the Norwood Builder
6,Fred Angelina,The Adventure of the Norwood Builder
7,John Hector McFarlane,The Adventure of the Norwood Builder
8,Mr. Angelina,The Adventure of the Norwood Builder
9,Dr. Luna,The Adventure of the Norwood Builder
10,Mr. George Cissa,The Adventure of the Norwood Builder
11,Angelina,The Adventure of the Norwood Builder
12,Inspector Oliver,The Adventure of the Norwood Builder
13,Mr. McFarlane,The Adventure of the Norwood Builder
14,John Hector McFa,The Adventure of the Norwood Builder
15,Oliver,The Adventure of the Norwood Builder
16,George Cissa,The Adventure of the Norwood Builder
17,Mr. Cissa,The Adventure of the Norwood Builder
18,McFarlane,The Adventure of the Norwood Builder
19,Cissa,The Adventure of the Norwood Builder
20,Mrs. Voldemort,The Adventure of the Norwood Builder
21,Bert Viktor,The Adventure of the Norwood Builder
22,Pomona,The Adventure of the Norwood Builder
23,LESTRADE,The Adventure of the Norwood Builder
24,Farlane,The Adventure of the Norwood Builder
25,McFarlane's mother,The Adventure of the Norwood Builder
26,Mr. Prince,The Adventure of the Norwood Builder
