character1,character2,count
Mr. Sprout,and,25
Chimaera,and,15
School,and,11
Chimaera,Mr. Chimaera Hallows,10
Rose,and,10
Pettigrew,and,7
Mr. Chimaera Hallows,and,6
Dr. Luna,and,5
Mr. Neville Deathly,and,5
Prince,and,5
Chimaera,Mr. Neville Deathly,4
Fluffy,and,4
Mr. Neville Deathly,Mr. Sprout,4
School,Weasley's,4
Weasley's,and,4
Chimaera,Fluffy,3
Chimaera,Prince,3
Astoria,Weasley's,2
Astoria,and,2
Chimaera,Pettigrew,2
Chimaera,School,2
Cursed,Karkaroff,2
Mr. Chimaera Hallows,Pettigrew,2
Mr. Neville Deathly,Peeves,2
Mr. Sprout,Platform,2
Platform,School,2
Prince,School,2
Rose,School,2
Astoria,Platform,1
Astoria,School,1
Azkaban,School,1
Chimaera,Peeves,1
Chimaera,Rose,1
Cursed,Sir Petunia Wizarding,1
Diggory,and,1
Fluffy,Mr. Chimaera Hallows,1
Fluffy,Peeves,1
Fluffy,Prince,1
Karkaroff,Sir Petunia Wizarding,1
Marauder,and,1
Mr. Neville Deathly,Prince,1
Mr. Sprout,Peeves,1
Mr. Sprout,Rose,1
Mr. Sprout,School,1
Peeves,Prince,1
Peeves,and,1
Pettigrew,Weasley's,1
Platform,Weasley's,1
Platform,and,1
