node,is_victim,pagerank,victim_connection_weight,degree,strength
Astoria,0,0.02143061523661393,0,4,6.0
Azkaban,0,0.009471761531788149,0,1,1.0
Chimaera,0,0.09491193573348786,3,9,41.0
Cursed,0,0.05287569573304482,0,2,3.0
Diggory,0,0.009171646141037937,0,1,1.0
Dr. Luna,0,0.017286802133761107,0,1,5.0
Fluffy,1,0.028199578595481924,0,5,10.0
Karkaroff,0,0.05287569573304482,0,2,3.0
Marauder,1,0.009171646141037937,0,1,1.0
Mr. Chimaera Hallows,0,0.04591163913864932,1,4,19.0
Mr. Neville Deathly,0,0.04077267837169717,0,5,16.0
Mr. Sprout,0,0.07940841793529128,0,6,34.0
Peeves,0,0.02214872557524314,1,6,7.0
Pettigrew,0,0.03191956373703596,0,4,12.0
Platform,0,0.023367907615188283,0,5,7.0
Prince,0,0.035100230390097076,1,6,13.0
Rose,0,0.036041528946986576,0,4,14.0
School,0,0.07123637583301866,0,9,26.0
Sir Petunia Wizarding,0,0.037105751391053196,0,2,2.0
Weasley's,0,0.03574419606406929,0,5,12.0
and,0,0.24584760802237132,5,16,103.0
