char_id,name,story_title
1,David Brannan,The Adventure of the Red Circle
2,Al Haines,The Adventure of the Red Circle
3,Sir Arthur Conan Doyle,The Adventure of the Red Circle
4,Sherlock Holmes,The Adventure of the Red Circle
5,Mrs. Warren,The Adventure of the Red Circle
6,Mr. Fairdale Hobbs,The Adventure of the Red Circle
7,Watson,The Adventure of the Red Circle
8,Holmes,The Adventure of the Red Circle
9,Mr. Warren,The Adventure of the Red Circle
10,Homes,The Adventure of the Red Circle
11,he,The Adventure of the Red Circle
12,Jimmy,The Adventure of the Red Circle
13,Mr. Holmes,The Adventure of the Red Circle
14,Dr. Watson,The Adventure of the Red Circle
15,Gregson,The Adventure of the Red Circle
16,Scotland Yard detective,The Adventure of the Red Circle
17,Gorgiano,The Adventure of the Red Circle
18,Black Gorgiano,The Adventure of the Red Circle
19,Giuseppe Gorgiano,The Adventure of the Red Circle
20,Gennaro Lucca,The Adventure of the Red Circle
21,Gennaro,The Adventure of the Red Circle
22,Emilia Lucca,The Adventure of the Red Circle
23,Augusto Barelli,The Adventure of the Red Circle
24,Tito Castalotte,The Adventure of the Red Circle
25,Castalotte,The Adventure of the Red Circle
26,Mr.,The Adventure of the Red Circle
