node,is_victim,pagerank,victim_connection_weight,degree,strength
Brannan,0,0.058368257854285,0,1,4.0
Dr. Hobbs,0,0.07335042138727119,0,3,3.0
George Gennaro,0,0.07480656039096371,0,2,5.0
Gorgiano Black,1,0.06491228199873578,0,2,2.0
Gregson,0,0.03508771800126424,1,1,1.0
Halloa,0,0.05,0,1,1.0
Homes David,0,0.05,0,1,3.0
Jimmy,0,0.06491228199873578,1,2,2.0
Lucca,0,0.041631742145715016,0,2,2.0
Lucca Warren,0,0.0251934396090363,0,1,1.0
Mr. Jove,0,0.05,0,1,3.0
Tito Barelli,0,0.03508771800126424,0,1,1.0
Zamba,0,0.028280213432592294,0,1,1.0
al,0,0.049184682590068265,0,2,2.0
castalotte,0,0.05,0,1,1.0
doyle,0,0.05,0,1,1.0
leverton,0,0.05,0,1,1.0
pericolo,0,0.049184682590068265,0,2,2.0
sherlock,0,0.05,0,1,1.0
watson,0,0.05,0,1,1.0
