canonical_name,alias_name
Lady Narcissa Graphorn Riddle,
Lady Narcissa Graphorn Riddle,Riddle
Lady Narcissa Graphorn Riddle,Graphorn Riddle
Mr. Quaffle Umbridge,
Mr. Quaffle Umbridge,Umbridge
Mr. Quaffle Umbridge,Mr. Umbridge
Mr. Quaffle Umbridge,Quaffle Umbridge
Mr. Graphorn Riddle,
Weasley Animagus,
Mr. Hat Azkaban,
Mr. Hat Azkaban,Azkaban
Mr. Hat Azkaban,Mr. Azkaban
Prime Minister,
John Hogwarts,
Mme. Fleur,
My husband,
Lord Fred,
Constable MacPherson,
Constable MacPherson,MacPherson
Inspector Gilderoy,
Inspector Gilderoy,Gilderoy
Mrs. Lethifold,
Lady Narcissa,
Lady Narcissa,Narcissa
Sovereign,
Hermione,
Chimaera,
Barrett,
sherlock,
holmes,
bellinger,
trelawney,
hope,
watson,
oberstein,
la,
rothiere,
eduardo,
lucas,
pringle,
mitton,
halloa,
hudson,
hilda,
lestrade,
henri,
fournaye,
m,
george,
jacobs,
charles,
hardy,
flowers,
