canonical_name,alias_name
Dharmendra the First,
Mr. Yashwant Bhumi,
Mr. Yashwant Bhumi,Bhumi
Mr. Yashwant Bhumi,Mr. Bhumi
Mr. Yashwant Bhumi,Yashwant Bhumi
Mr. Vikrant Rajeev,
Mr. Vikrant Rajeev,Rajeev
Mr. Vikrant Rajeev,Mr. Rajeev
Mr. Tushar Prithvi,
Mr. Tushar Prithvi,Tushar Prithvi
Siddharth Hrithik,
Anjali Brothers,
Mohit Hrithik,
Vinita Sonali,
Baker Street,
Ravi Amitabh,
Ravi Amitabh,Amitabh
Ravi Amitabh,Inspector Amitabh
Mr. Anushka,
Mr. Anushka,Anushka
Chiranjeevi,
Mr. Anjali,
Mr. Anjali,Anjali
Dharmendra,
Siddharth,
Mr. Swara,
Dr. Medha,
Dr. Medha,Medha
Dr. Saira,
Dr. Saira,Saira
Yashwant,
Madhavan,
Niharika,
Jagdeep,
Gelder,
Han,
lestrade,
sherlock,
holmes,
watson,
napoleon,
morse,
hudson,
barnicot,
devine,
george,
horace,
harker,
jove,
harding,
beppo,
josiah,
brown,
sandeford,
saffron,
hill,
pietro,
venucci,
colonna,
lucretia,
