canonical_name,alias_name
Miss Boggart Scorpius,
Miss Boggart Scorpius,Scorpius
Miss Boggart Scorpius,Miss Scorpius
Mr. Horace Lethifold,
Mr. Horace Lethifold,Lethifold
Mr. Horace Lethifold,Mr. Lethifold
Mr. Horace Lethifold,Horace Lethifold
Bellatrix Molly,
Veela Scorpius,
Lily Scorpius,
Leta Child,
Jack Fleur,
Jack Fleur,Fleur
Jack Fleur,Mr. Fleur
Mr. Karkaroff,
Mr. Karkaroff,Karkaroff
Miss Boggart,
Mrs. Sprout,
Mr. Queenie,
Mr. Queenie,Queenie
Bellatrix,
Erumpent,
Centaur,
Petunia,
Snidget,
sherlock,
holmes,
violet,
smith,
john,
harden,
watson,
archie,
stamford,
james,
ralph,
carruthers,
woodley,
cyril,
morton,
dixon,
williamson,
halloa,
george,
peter,
jingo,
bob,
farnham,
roaring,
busybody,
kennedy,
