node,is_victim,pagerank,victim_connection_weight,degree,strength
Bellatrix,0,0.07498888947286778,0,4,5.0
Bellatrix Molly,0,0.07498888947286778,0,4,5.0
Jack Fleur,0,0.1372102971749978,1,5,13.0
Leta Child,0,0.02683950194023169,0,1,1.0
Lily Scorpius,1,0.06615693870086424,0,2,5.0
Miss Boggart,0,0.08268215148124121,0,3,6.0
Miss Boggart Scorpius,0,0.18795632448540847,4,7,14.0
Mr. Horace Lethifold,0,0.05233600839564275,0,3,3.0
Mr. Karkaroff,0,0.09996523988807762,0,2,10.0
Mr. Queenie,0,0.08141111731434116,0,2,8.0
Petunia,0,0.07200462904966035,0,3,4.0
Veela Scorpius,0,0.02295025741030369,0,1,1.0
roaring,0,0.02050975521349564,0,1,1.0
