character1,character2,count
Irwin Johansson,Jack Hutton,7
Adams,Miss Adams Meryl,4
Irwin Johansson,Mr. Nicholson,4
Jack Hutton,Mr. Nicholson,4
Leto Meryl,Miss Adams Meryl,4
Bassey,Bassey Jett,2
Bening,Miss Adams Meryl,2
Adams,Bassey,1
Adams,Bassey Jett,1
Bassey,Miss Adams Meryl,1
Bassey,Mr. Zeta Vance,1
Bassey Jett,Miss Adams Meryl,1
Bassey Jett,Mr. Zeta Vance,1
Beales Corbin,Mr. Zeta Vance,1
Bening,Downey Barlow,1
Bening,Mr. Zeta Vance,1
Hall Meryl,Miss Adams Meryl,1
Jack Hutton,Leto Meryl,1
Jack Hutton,Miss Adams Meryl,1
Jack Hutton,roaring,1
