canonical_name,alias_name
Major-General O'brien,
Major-General O'brien,O'brien
Mrs. O'brien,
Miss O'brien,
Dr. Saldana Delaney,
Dr. Saldana Delaney,Delaney
Dr. Saldana Delaney,Dr. Delaney
Dr. Saldana Delaney,Saldana Delaney
Miss Rapp Benning,
Lewis O'brien,
Percy Corbin,
Percy Corbin,Corbin
Percy Corbin,Mr. Corbin
Mendes James,
Mendes James,James
Mendes James,Mr. James
Pugh Turner,
Miss Delaney,
Mrs. Capshaw,
Mrs. Capshaw,Capshaw
Mrs. Hawke,
Dr. Tyson,
Dr. Tyson,Tyson
Eisenberg,
Ferrell,
Bassey,
Lewis,
sherlock,
holmes,
grimesby,
watson,
hudson,
farintosh,
helen,
stoner,
roylotts,
roylott,
julia,
honoria,
westphail,
armitage,
stoke,
moran,
harrow,
palmer,
pritchard,
