node,is_victim,pagerank,victim_connection_weight,degree,strength
Dr. Lucerne,0,0.03223564927374859,0,2,3.0
Grace,0,0.06292572269555465,2,3,6.0
Grace Watson,0,0.047132256680357004,2,2,4.0
Klein,0,0.04712301951465643,0,2,5.0
Maberley,0,0.05651883626457631,0,3,3.0
Maberley Ferguson,0,0.024346699235858377,0,1,1.0
Masser Barney,0,0.12617178332176907,0,2,17.0
Masser John,0,0.021437205559237518,0,2,2.0
Mortimer Watson,1,0.0740119681255624,0,4,6.0
Mr. Pike Barney,0,0.22384501127047784,0,8,28.0
Pike,0,0.035515243280781233,0,1,4.0
Sherlock,0,0.03272766466158005,1,2,2.0
Sherlock Watson,0,0.03272766466158005,1,2,2.0
Steve,0,0.07242062763735382,0,2,8.0
Steve Mary,0,0.04712301951465643,0,2,5.0
Stockdale Perkins,0,0.02426211824619635,0,2,2.0
harrow,0,0.01512881082019531,0,1,1.0
langdale,0,0.024346699235858377,0,1,1.0
