node,is_victim,pagerank,victim_connection_weight,degree,strength
Alexander Hamilton Mandrake,0,0.1764111516877248,8,4,13.0
Counsellor at Law,0,0.04614232690559989,0,1,3.0
Dr. Tina,0,0.05336176954376262,0,1,1.0
Fred Mandrake,0,0.023073083327507658,0,1,1.0
Lovegood,0,0.05101827850908309,0,2,2.0
Mr. Arthur,0,0.14760699906101987,0,3,3.0
Mr. Tom Mandrake,1,0.10381543585083047,0,1,8.0
Mrs. Regulus,0,0.05336176954376262,0,1,1.0
Potion Phoenix,0,0.05101827850908309,0,2,2.0
Ravenclaw Find,0,0.14656405018395427,0,5,7.0
Snape,0,0.04713254366695459,0,1,2.0
Them Cattermole,0,0.04713254366695459,0,1,2.0
sherlock,0,0.05336176954376262,0,1,1.0
