character1,character2,count
Chimaera Harry,Mr. Sorting Harry,164
Hallows Grindelwald,Mr. Centaur,66
Katie Barty Peeves,Newt Dumbledore,41
Hallows Grindelwald,Newt Dumbledore,34
Mr. Sorting Harry,Sorting,32
Mr. Centaur,Mr. Pansy,30
Hallows Grindelwald,Mr. Prisoner,26
Hallows Grindelwald,Mr. Pansy,24
Mr. Centaur,Mr. Prisoner,22
Hallows Grindelwald,Katie Barty Peeves,21
Horace Crimes,Katie Barty Peeves,20
Katie Barty Peeves,Mr. Sorting Harry,20
Jacob,Quaffle Dursley,19
Hallows,Newt Dumbledore,17
Mr. Centaur,Mr. Sorting Harry,16
Chimaera Harry,Mr. Centaur,15
Katie Barty Peeves,Miss Krum,15
Katie Barty Peeves,Mr. Prisoner,15
Mr. Pansy,Mr. Prisoner,14
Mr. Prisoner,Mr. Sorting Harry,13
Cattermole,Hallows Grindelwald,12
Chimaera Harry,Sorting,12
Mr. Centaur,Where,12
Newt,Newt Dumbledore,12
Chimaera Harry,Mr. Prisoner,11
Hallows,Hallows Grindelwald,11
Hallows Grindelwald,Mr. Graphorn,11
Horace Crimes,Mr. Prisoner,11
Horace Crimes,Where,11
Mr. Pansy,Tournament Weasley,11
Horace Crimes,Miss Krum,10
Cattermole,Mr. Centaur,9
Hallows Grindelwald,Where,9
Horace Crimes,Newt Dumbledore,9
Katie Barty Peeves,Mr. Graphorn,9
Mr. Prisoner,Newt Dumbledore,9
Cattermole,Jacob,8
Cattermole,Quaffle Dursley,8
Cattermole,Mr. Pansy,7
Chimaera Harry,Katie Barty Peeves,7
Horace Crimes,Krum Crimes,7
Jacob,Mr. Centaur,7
Katie Barty Peeves,Mr. Centaur,7
Katie Barty Peeves,Mr. Pansy,7
Krum Crimes,Miss Krum,7
Mr. Centaur,Newt Dumbledore,7
Mr. Graphorn,Newt Dumbledore,7
Black,Mr. Sorting Harry,6
Child Marauder,Goblet,6
Chimaera Harry,Horace Crimes,6
Hallows Grindelwald,Jacob,6
Hallows Grindelwald,Newt,6
Hallows Grindelwald,Quaffle Dursley,6
Horace Crimes,Mr. Sorting Harry,6
Mr. Centaur,Quaffle Dursley,6
Mr. Chudley,Mr. Leta,6
Mr. Sorting Harry,Newt Dumbledore,6
