char_id,name,story_title
1,Bruce Albrecht,The Borough Treasurer
2,Martin Pettit,The Borough Treasurer
3,J. S. Fletcher,The Borough Treasurer
4,Mallalieu,The Borough Treasurer
5,Cotherstone,The Borough Treasurer
6,Kitely,The Borough Treasurer
7,Stoner,The Borough Treasurer
8,Mr. Kitely,The Borough Treasurer
9,r. Mallalieu,The Borough Treasurer
10,Wilchester,The Borough Treasurer
11,Anthony Mallalieu,The Borough Treasurer
12,Milford Cotherstone,The Borough Treasurer
13,Lettie,The Borough Treasurer
14,Windle Bent,The Borough Treasurer
15,Bent,The Borough Treasurer
16,Mr. Brereton,The Borough Treasurer
17,Brereton,The Borough Treasurer
18,arlourmaid,The Borough Treasurer
19,Garthwaite,The Borough Treasurer
20,Hollings,The Borough Treasurer
21,Doctor,The Borough Treasurer
22,Dr. Rockcliffe,The Borough Treasurer
23,Pett,The Borough Treasurer
24,Mr. Bent,The Borough Treasurer
25,Miss Pett,The Borough Treasurer
26,George,The Borough Treasurer
27,Gentleman Jack,The Borough Treasurer
28,Harborough,The Borough Treasurer
29,Mr. Cotherstone,The Borough Treasurer
30,Miss Avice,The Borough Treasurer
31,the sergeant,The Borough Treasurer
32,Avice,The Borough Treasurer
33,Northrop,The Borough Treasurer
34,Councillor Northrop,The Borough Treasurer
35,superintendent,The Borough Treasurer
36,Norcaster,The Borough Treasurer
37,Avice Harborough,The Borough Treasurer
38,eton,The Borough Treasurer
39,Major Stilman,The Borough Treasurer
40,Mrs. Northrop,The Borough Treasurer
41,Mr. Christopher Pett,The Borough Treasurer
42,CHRISTOPHER PETT,The Borough Treasurer
43,Christopher Pett,The Borough Treasurer
44,Mr. Popham,The Borough Treasurer
45,Messrs. Pilboody,The Borough Treasurer
46,Mr. Pett,The Borough Treasurer
47,Mr Bent,The Borough Treasurer
48,Rellit,The Borough Treasurer
49,Vicar's son,The Borough Treasurer
50,Mr Mallalieu,The Borough Treasurer
51,Jack Harborough,The Borough Treasurer
52,Mr. Mallalieu,The Borough Treasurer
53,Lettie Cotherstone,The Borough Treasurer
54,Windle,The Borough Treasurer
55,Herbert Stoner,The Borough Treasurer
56,Postick,The Borough Treasurer
57,Tallington,The Borough Treasurer
58,Popsie,The Borough Treasurer
59,Myler,The Borough Treasurer
60,Myler--David Myler,The Borough Treasurer
61,Pursey,The Borough Treasurer
62,Mr. Pursey,The Borough Treasurer
63,Mallows,The Borough Treasurer
64,Chidforth,The Borough Treasurer
65,Maria,The Borough Treasurer
66,Bert,The Borough Treasurer
67,Dave,The Borough Treasurer
68,M.,The Borough Treasurer
69,C.,The Borough Treasurer
70,Dave Myler,The Borough Treasurer
71,Cothe,The Borough Treasurer
72,Mr. Stoner,The Borough Treasurer
73,Mr. Sharp-nose,The Borough Treasurer
74,Battley,The Borough Treasurer
75,K.,The Borough Treasurer
76,Mallow,The Borough Treasurer
77,Susan Hamthwaite,The Borough Treasurer
78,Mr. Northrop,The Borough Treasurer
79,Mr. Tallington,The Borough Treasurer
80,Mrs. Hamthwaite,The Borough Treasurer
81,ered Brereton,The Borough Treasurer
82,Miss,The Borough Treasurer
83,Lawyer Tallington,The Borough Treasurer
84,Bert Stoner,The Borough Treasurer
85,The Mayor,The Borough Treasurer
86,David Myler,The Borough Treasurer
87,arkness,The Borough Treasurer
88,Christopher,The Borough Treasurer
89,Barrister,The Borough Treasurer
90,Coroner,The Borough Treasurer
91,Chris Pett,The Borough Treasurer
92,Chris,The Borough Treasurer
93,Stilby,The Borough Treasurer
94,Gradston,The Borough Treasurer
95,Strawson,The Borough Treasurer
96,MR. WRAYTHWAITE OF WRAYE,The Borough Treasurer
97,The Mayor of Highmarket,The Borough Treasurer
98,Mr. Gifford Brereton,The Borough Treasurer
99,Carfax,The Borough Treasurer
100,Spillington,The Borough Treasurer
101,Miss Harborough,The Borough Treasurer
102,Mr. John Wraythwaite,The Borough Treasurer
103,Mr. Wraythwaite,The Borough Treasurer
104,John Harborough's aunt,The Borough Treasurer
105,Squire of Wraye,The Borough Treasurer
106,Matthew Wraythwaite,The Borough Treasurer
107,Wraythwaite,The Borough Treasurer
108,Stobb,The Borough Treasurer
109,Leykin,The Borough Treasurer
110,Mr. Stobb,The Borough Treasurer
111,Mr. Leykin,The Borough Treasurer
112,Stilman,The Borough Treasurer
113,the solicitor,The Borough Treasurer
114,the barrister,The Borough Treasurer
115,John Carter,The Borough Treasurer
116,Tars Tarkas,The Borough Treasurer
117,Tardos Mors,The Borough Treasurer
118,Dejah Thoris,The Borough Treasurer
119,Carthoris,The Borough Treasurer
120,Diana Rivers,The Borough Treasurer
121,Buffalo Bill,The Borough Treasurer
122,Helen Cody Wetmore,The Borough Treasurer
123,BAREE,The Borough Treasurer
124,KAZAN,The Borough Treasurer
125,CAPTAIN PLUM,The Borough Treasurer
126,ISOBEL,The Borough Treasurer
127,MARGE O'DOONE,The Borough Treasurer
128,MICHAEL O'HALLORAN,The Borough Treasurer
129,Laddie,The Borough Treasurer
130,The Princess,The Borough Treasurer
131,W. L. Jacobs,The Borough Treasurer
132,Freckles,The Borough Treasurer
133,The Angel,The Borough Treasurer
134,A Girl Of The Limberlost,The Borough Treasurer
135,Grosset & Dunlap,The Borough Treasurer
136,Ethel M. Dell,The Borough Treasurer
137,GREATHEART,The Borough Treasurer
138,THE HUNDREDTH CHANCE,The Borough Treasurer
139,THE SWINDLER,The Borough Treasurer
140,THE TIDAL WAVE,The Borough Treasurer
141,THE SAFETY CURTAIN,The Borough Treasurer
