canonical_name,alias_name
Chidforth A Spillington,
Chidforth A Spillington,Spillington
Chidforth A Spillington,Mr. Spillington
Mr. Gifford Spillington,
Mr. Gifford Spillington,Gifford Spillington
Mr. Gifford Spillington,MR. GIFFORD Spillington
Strattonporter Stilman,
Strattonporter Stilman,Stilman
Gene Stratton-Porter,
Desert Spillington,
Carthoris Brereton,
Carthoris Brereton,Brereton
Carthoris Brereton,Mr. Brereton
Gifford Hamthwaite,
Florence Gradston,
Florence Gradston,Gradston
Wraythwaite Gill,
Maria Rockcliffe,
Jack Christopher,
Mr. Dells Susan,
Mr. Dells Susan,Susan
Mr. Dells Susan,Mr. Susan
Mr. Dells Susan,Dells Susan
Milford Mallows,
Milford Mallows,Mallows
Milford Mallows,Mr. Mallows
Avice Featherby,
Chidforth Star,
Ethel Albrecht,
Ethel Albrecht,Albrecht
Anthony Isobel,
Anthony Isobel,Isobel
Anthony Isobel,Mr. Isobel
Bruce Gradston,
Frances Pettit,
Kitely Mallows,
Chidforth God,
Leykin Rellit,
Leykin Rellit,Rellit
Leykin Rellit,Miss Rellit
Popsie Rellit,
Bert Northrop,
Susan Martin,
Susan Martin,Mrs. Martin
Laddie Susan,
Laddie Susan,Miss Susan
John Rellit,
Herman Star,
John Helen,
John Helen,Helen
Pett Bent,
Zane Grey,
Dick Dave,
Moor Mars,
Moor Mars,Mars
Moor Mars,Mr. Mars
Mr. Wilchester,
Mr. Harborough,
Mr. Harborough,Harborough
Mrs. Hollings,
Mrs. Forester,
Mrs. Forester,Forester
Mr. Strawson,
Mr. Strawson,Strawson
Dr. Curwoods,
Dr. Curwoods,Curwoods
Lady Postick,
Mr. Pilboody,
Mr. Pilboody,Pilboody
Cotherstone,
Mr. Carter,
Mr. Carter,Carter
Tallington,
Mr. Stoner,
Mr. Stoner,Stoner
Mr. Desert,
Mr. Desert,Desert
Mr. Forest,
Mr. Forest,Forest
Mr. Jacobs,
Mr. Jacobs,Jacobs
Mr. Myler,
Mr. Myler,Myler
Carthoris,
Ohalloran,
Mr. Dells,
Mr. Dells,Dells
Mallalieu,
Chidforth,
Florence,
Freckles,
Ingleby,
Kitely,
Leykin,
Carfax,
Thuvia,
Popsie,
Rogers,
George,
Laddie,
Bruce,
Greys,
Snare,
James,
Stobb,
Smith,
Ethel,
Baree,
Wraye,
Moor,
Halo,
Tars,
John,
Zane,
King,
Gad,
By,
fletcher,
windle,
lettie,
garthwaite,
wood,
mayor,
m,
popham,
k,
david,
pursey,
battley,
mark,
bay,
esquire,
chris,
stilby,
h,
tarzan,
issus,
tarkas,
tardos,
mors,
barclays,
shenstone,
wetmore,
stop,
kazan,
plum,
north,
thor,
michael,
pfeifer,
w,
greatheart,
chance,
joseph,
