character1,character2,count
Miss Aparna,Mr. Shalini Aparna,7
Mr. Charles McCarthy,Mr. Soumya McCarthy,6
Mr. Charles McCarthy,Soumya,6
Mr. Soumya McCarthy,Soumya,6
Tanushree,Tanushree Farm,6
Abhay Neeraj,Mr. Charles McCarthy,4
Boscombe Pool,Tanushree,4
Abhay Neeraj,Mr. Soumya McCarthy,3
Abhay Neeraj,Saket,3
Abhay Neeraj,Soumya,3
Mr. Charles McCarthy,Mr. Shalini Aparna,3
Boscombe Pool,Mr. Charles McCarthy,2
Boscombe Pool,Tanushree Farm,2
Mr. Charles McCarthy,Tanushree,2
Abhay Neeraj,Bhumi,1
Abhay Neeraj,Boscombe Pool,1
Abhay Neeraj,Miss Aparna,1
Abhay Neeraj,Mr. Shalini Aparna,1
Abhay Neeraj,Rajat,1
BALLARAT,Radhika,1
Bhumi,Rajat,1
Boscombe Pool,Saket,1
Miss Aparna,Saket,1
Mr. Charles McCarthy,Saket,1
Mr. Charles McCarthy,Tanushree Farm,1
Mr. Shalini Aparna,Saket,1
Mr. Shalini Aparna,black,1
Saket,Tanushree,1
Saket,Tanushree Farm,1
