node,is_victim,pagerank,victim_connection_weight,degree,strength
Baxter,0,0.043980012856110834,0,2,2.0
Hatherley,0,0.02522402043880237,0,1,1.0
Jack,0,0.03289202034967227,0,1,1.0
James,0,0.03986285853218629,0,1,2.0
Miss Turner,0,0.10734631396893958,0,3,7.0
Moran,0,0.07142857142857142,0,1,1.0
Mr. John Turner,0,0.12715178958023302,0,4,8.0
Mr. Lestrade,0,0.10242244740166578,0,4,6.0
Sherlock Holmes,0,0.1886065223270725,0,7,11.0
black,0,0.052181357747506533,0,2,2.0
cobb,0,0.02899046047177649,0,1,1.0
god,0,0.043980012856110834,0,2,2.0
patience,0,0.07142857142857142,0,1,1.0
ross,0,0.06450504061278048,0,2,3.0
