char_id,name,story_title
1,Shailesh Shafaq,The Clue of the Twisted Candle
2,Amrita,The Clue of the Twisted Candle
3,Mohanlal X,The Clue of the Twisted Candle
4,Gopika,The Clue of the Twisted Candle
5,Howard,The Clue of the Twisted Candle
6,Abhay Shafaq,The Clue of the Twisted Candle
7,Nandita,The Clue of the Twisted Candle
8,Roshan,The Clue of the Twisted Candle
9,Chitrangada Roshan,The Clue of the Twisted Candle
10,Shailesh,The Clue of the Twisted Candle
11,Mohanlal X.,The Clue of the Twisted Candle
12,Caius,The Clue of the Twisted Candle
13,Abhay,The Clue of the Twisted Candle
14,Komal,The Clue of the Twisted Candle
15,Anjali Taapsee-do,The Clue of the Twisted Candle
16,Shafaq,The Clue of the Twisted Candle
17,Lavanya,The Clue of the Twisted Candle
18,Mexico,The Clue of the Twisted Candle
19,Beston Tracey,The Clue of the Twisted Candle
20,Abhay Terrell,The Clue of the Twisted Candle
21,Roumanian,The Clue of the Twisted Candle
22,Om,The Clue of the Twisted Candle
23,Mohanlal,The Clue of the Twisted Candle
24,Meher,The Clue of the Twisted Candle
25,Mr Gopika,The Clue of the Twisted Candle
26,Sir Bipasha Genelia,The Clue of the Twisted Candle
27,Inspector,The Clue of the Twisted Candle
28,Mr. Gopika,The Clue of the Twisted Candle
29,Curious Mike,The Clue of the Twisted Candle
30,Mohanlal.,The Clue of the Twisted Candle
31,X.,The Clue of the Twisted Candle
32,Sir Anjali Haley,The Clue of the Twisted Candle
33,Sir Anjali,The Clue of the Twisted Candle
34,Chief Commissioner,The Clue of the Twisted Candle
35,Bhumi,The Clue of the Twisted Candle
36,Sharman,The Clue of the Twisted Candle
37,Mrs. Shafaq,The Clue of the Twisted Candle
38,Anjali,The Clue of the Twisted Candle
39,Hever Court,The Clue of the Twisted Candle
40,X,The Clue of the Twisted Candle
41,A. O. 43,The Clue of the Twisted Candle
42,Swara Neerja,The Clue of the Twisted Candle
43,Madhuri,The Clue of the Twisted Candle
44,Gatwick,The Clue of the Twisted Candle
45,Horsley,The Clue of the Twisted Candle
46,Mr. Lavanya,The Clue of the Twisted Candle
47,Mr. Roshan,The Clue of the Twisted Candle
48,Governor,The Clue of the Twisted Candle
49,Anjali Grossmith,The Clue of the Twisted Candle
50,Anjali Taapsee,The Clue of the Twisted Candle
51,Janhvi,The Clue of the Twisted Candle
52,Vikas,The Clue of the Twisted Candle
53,Lady Keshav Vikas,The Clue of the Twisted Candle
54,Tanvi Keshav,The Clue of the Twisted Candle
55,Lady Vikas,The Clue of the Twisted Candle
56,Sonali Anil,The Clue of the Twisted Candle
57,Lord Aamir Rahul,The Clue of the Twisted Candle
58,Aishwarya,The Clue of the Twisted Candle
59,Maggie Goomer,The Clue of the Twisted Candle
60,han,The Clue of the Twisted Candle
61,Aparna,The Clue of the Twisted Candle
62,Manisha,The Clue of the Twisted Candle
63,Zeeshan,The Clue of the Twisted Candle
64,ohanlal,The Clue of the Twisted Candle
65,Radhika,The Clue of the Twisted Candle
66,ika,The Clue of the Twisted Candle
67,Miss Aishwarya,The Clue of the Twisted Candle
68,Taapsee,The Clue of the Twisted Candle
69,Rohan,The Clue of the Twisted Candle
70,Rajat,The Clue of the Twisted Candle
71,Mr. Taapsee,The Clue of the Twisted Candle
72,Cadog,The Clue of the Twisted Candle
73,Harsh,The Clue of the Twisted Candle
74,Mrs. Harsh,The Clue of the Twisted Candle
75,Superintendent Meher,The Clue of the Twisted Candle
76,Mr. Meher,The Clue of the Twisted Candle
77,Keshav Pankaj,The Clue of the Twisted Candle
78,Sir Imran,The Clue of the Twisted Candle
79,Pramod,The Clue of the Twisted Candle
80,Dr. Lakshmi,The Clue of the Twisted Candle
81,Miss Tanvi,The Clue of the Twisted Candle
82,d,The Clue of the Twisted Candle
83,Mohanlal. X.,The Clue of the Twisted Candle
84,Mr. Shafaq,The Clue of the Twisted Candle
85,Saira,The Clue of the Twisted Candle
86,Mrs. Saira,The Clue of the Twisted Candle
87,Sagar,The Clue of the Twisted Candle
88,Tierra del Fuego,The Clue of the Twisted Candle
89,Shruti,The Clue of the Twisted Candle
90,Manan,The Clue of the Twisted Candle
91,Ohanlal,The Clue of the Twisted Candle
92,Imran Vikas,The Clue of the Twisted Candle
93,Miss Tanvi Keshav Vikas,The Clue of the Twisted Candle
94,Mohit,The Clue of the Twisted Candle
95,Mr.--Mr. Gopika,The Clue of the Twisted Candle
96,Miss Vikas,The Clue of the Twisted Candle
97,Pritam,The Clue of the Twisted Candle
98,Tanvi Ann,The Clue of the Twisted Candle
99,Janhvi Priyanka,The Clue of the Twisted Candle
100,Chiranjeevi Priyanka,The Clue of the Twisted Candle
101,Chiranjeevi,The Clue of the Twisted Candle
102,Janhvi Priyanka Gopika,The Clue of the Twisted Candle
103,Prithvi Sidharth,The Clue of the Twisted Candle
104,Karthik Akshaye,The Clue of the Twisted Candle
105,Karthik,The Clue of the Twisted Candle
106,Akshaye,The Clue of the Twisted Candle
107,O'Grady,The Clue of the Twisted Candle
108,Chiranjeevi X.,The Clue of the Twisted Candle
109,Miss,The Clue of the Twisted Candle
