node,is_victim,pagerank,victim_connection_weight,degree,strength
Abigail Terrell,0,0.0044299712822738644,0,1,1.0
Ayres,0,0.006541905705444919,0,3,3.0
Bartholomew,0,0.009493676795762275,0,2,5.0
Belinda Grossmith,0,0.020867086000315747,0,5,10.0
Belinda Smith,0,0.02694348646997435,0,8,18.0
Bey Poropulos,0,0.007239000268445218,0,1,1.0
Bill Savorsky,0,0.008071316206639555,0,2,4.0
Briggs Poropulos,0,0.013784310312242712,0,2,3.0
Briggs Poropulos Hakaat,0,0.02022444439126499,0,6,8.0
Buenos Kara,0,0.023204731263488612,0,4,6.0
Carlneau,0,0.011444085510540554,0,3,3.0
Cassley Ann,0,0.021860286246685626,0,2,2.0
Chandler Watson,0,0.05789515421784289,0,13,48.0
Chillon,0,0.027964899384867254,0,5,19.0
Chillon G.,0,0.01663354952625374,0,3,11.0
Chillon Terrell,0,0.004584416181786786,0,1,1.0
Edgar,0,0.013275136255213824,0,5,11.0
Goole,0,0.005686200530579672,0,2,2.0
Green Chandler,0,0.12643352304133135,0,23,98.0
Harry,0,0.004358562844988854,0,1,1.0
Hullo,0,0.07745511453414283,0,7,114.0
Hullo G.,0,0.06814915803698884,0,4,104.0
Jove,0,0.03259861212983775,0,3,3.0
Jove Carter,0,0.021860286246685626,0,2,2.0
Lady Nero Morgan,0,0.03720900699764361,0,5,28.0
Miss Scutari,0,0.010116283435553042,0,4,5.0
Miss Wallace Nero Morgan,0,0.05713452419115182,0,9,41.0
Mr. Jove Gilcott,0,0.012569704265679882,0,1,1.0
Mr. Pinot,0,0.02512415614535961,0,6,17.0
O'Grady,0,0.01137386296128177,0,2,2.0
Roman,0,0.006620955599288365,0,1,1.0
Sir Belinda,0,0.01136894196573919,0,3,4.0
Sir Belinda Haley,0,0.005749244461921967,0,1,1.0
Sir M,0,0.00697339099869576,0,2,2.0
Sir M Morgan,0,0.008666222380906943,0,2,3.0
Superintendent Hussein,0,0.02429080852429332,0,5,19.0
Theressa Hiabam,0,0.013151301692102425,0,2,3.0
Tommy,0,0.0065788545688007655,0,2,2.0
Vitriol Villari,0,0.008167314403159875,0,1,1.0
Wallace Ann,0,0.00608278703466578,0,1,2.0
Wallace Nero,0,0.02102462449509904,0,5,13.0
beale,0,0.00564750377578203,0,2,2.0
doctor,0,0.009077471681490418,0,2,4.0
t,0,0.07493985748072213,0,16,58.0
waglite,0,0.0071342695570643004,0,2,3.0
