character1,character2,count
Capshaw,Capshaw Ferrell,91
Lady Bruce Efron,Miss Cheadle Bruce Efron,22
Monsieur Carpenter,Redford Carpenter,18
Monsieur Carpenter,t,16
Capshaw Ferrell,Monsieur Carpenter,13
Chastain,t,13
Capshaw Ferrell,t,12
Chastain,Monsieur Carpenter,12
Capshaw Ferrell,Smith,10
Capshaw Ferrell,Smith Ferrell,10
Greek,Monsieur Carpenter,10
Monsieur Carpenter,Mr. Benning,10
Smith,Smith Ferrell,10
Collette Blige,Sir Collette,9
Capshaw,Monsieur Carpenter,8
Cheadle Bruce,Miss Cheadle Bruce Efron,7
Collette Blige,Monsieur Carpenter,7
Cadogan,Monsieur Carpenter,6
Capshaw Ferrell,Chastain,6
Chastain,Superintendent Gable,6
Capshaw,Chastain,5
Miss Cheadle Bruce Efron,Monsieur Carpenter,5
Monsieur Carpenter,Smith,5
Monsieur Carpenter,Superintendent Gable,5
Superintendent Gable,t,5
m,t,5
Capshaw,t,4
Capshaw Ferrell,m,4
Greek,Redford Carpenter,4
Greek,t,4
Magnus,Nicholson,4
Mr. Arnold,t,4
Cadogan,Greek,3
Cadogan,Redford Carpenter,3
Hiabam Rudd Page,Rudd Page of Mckellen,3
Monsieur Carpenter,Mr. Arnold,3
Monsieur Carpenter,Rudd Page of Mckellen,3
Monsieur Carpenter,Washington,3
Portman,t,3
A FRIEND,Capshaw Ferrell,2
A FRIEND,Monsieur Carpenter,2
Capshaw,Mr. Arnold,2
Capshaw Ferrell,Greek,2
Capshaw Ferrell,Mr. Arnold,2
Capshaw Ferrell,Superintendent Gable,2
Chastain,Cheadle Bruce,2
Chastain,Mr. Benning,2
Chastain,Sir Collette,2
Chastain,m,2
Cheadle Bruce,Monsieur Carpenter,2
Collette Blige,Collette Blige-do,2
Collette Blige,t,2
Collette Blige-do,Sir Collette,2
Greek,Mr. Chastain X Harrelson,2
Lady Bruce Efron,Monsieur Carpenter,2
Lady Bruce Efron,Wilkins,2
Lady Bruce Efron,t,2
Miss Cheadle Bruce Efron,Portman,2
Miss Cheadle Bruce Efron,Sir Travolta Efron,2
Miss Cheadle Bruce Efron,Wilkins,2
Miss Cheadle Bruce Efron,t,2
Miss Ronan,Monsieur Carpenter,2
Monsieur Carpenter,Mr. Chastain X Harrelson,2
Monsieur Carpenter,Smith Ferrell,2
Monsieur Carpenter,m,2
Mr. Chastain X Harrelson,m,2
Mrs. Saldana,Superintendent Gable,2
Rudd Page of Mckellen,Washington,2
Smith,t,2
Ashley,Chastain,1
Bening Johansson,Monsieur Carpenter,1
Bening Johansson,rumo,1
Beston Tracey,Capshaw,1
Beston Tracey,Capshaw Ferrell,1
Beston Tracey,Chastain,1
Beston Tracey,Superintendent Gable,1
Cadogan,Mrs. Verne,1
Cadogan,Superintendent Gable,1
Cadogan,t,1
Cage,Hiabam Rudd Page,1
Cage,Monsieur Carpenter,1
Capshaw,Collette Blige,1
Capshaw,Greek,1
Capshaw,Roumanian,1
Capshaw,Smith,1
Capshaw,m,1
Capshaw Ferrell,Collette Blige,1
Capshaw Ferrell,Jett,1
Capshaw Ferrell,Lady Bruce Efron,1
Capshaw Ferrell,Miss Cheadle Bruce Efron,1
Capshaw Ferrell,Mr. Chastain X Harrelson,1
Capshaw Ferrell,Rudd Page of Mckellen,1
Capshaw Ferrell,Sir Collette,1
Chastain,Collette Blige,1
Chastain,Kimmel,1
Chastain,Lady Bruce Efron,1
Chastain,Miss Cheadle Bruce Efron,1
Chastain,Mrs. Saldana,1
Chastain,Mrs. Verne,1
Cheadle Ann,Cheadle Bruce,1
Cheadle Bruce,Deschanel,1
Cheadle Bruce,Mrs. Saldana,1
Cheadle Bruce,Portman,1
Clooney Barr,Hiabam Rudd Page,1
Collette Blige,Greek,1
Collette Blige,Lively,1
