canonical_name,alias_name
Mrs. C (Dunaway Arnold),
Mrs. C (Dunaway Arnold),Dunaway Arnold
Sergeant Jackman Chastain,
Sergeant Jackman Chastain,Chastain
Sergeant Jackman Chastain,Jackman Chastain
Christenson Blige,
Christenson Blige,Blige
Mr. Bateman Blige,
Mr. Bateman Blige,Bateman Blige
Colonel Chastain,
Colonel Chastain,Mrs Chastain
Colonel Chastain,Mrs. Chastain
Eastwood Portman,
Eastwood Portman,Portman
Major Black,
Choi Cher,
Miss Barr,
Shyamalan,
Barclays,
Colonel,
Bergman,
Dunaway,
Jackman,
Brosnan,
Charles,
Bateman,
Dehaan,
Pugh,
Rudd,
Iger,
sherlock,
holmes,
watson,
jackson,
barclay,
james,
nancy,
devoy,
murphy,
morrison,
jane,
stewart,
david,
henry,
wood,
simpson,
neill,
bhurtee,
harry,
teddy,
uriah,
bathsheba,
samuel,
