char_id,name,story_title
1,Sherlock Holmes,The Crooked Man
2,Watson,The Crooked Man
3,Holmes,The Crooked Man
4,Jackson,The Crooked Man
5,Barclay,The Crooked Man
6,James Barclay,The Crooked Man
7,Miss Nancy Devoy,The Crooked Man
8,Colonel Barclay,The Crooked Man
9,Mrs. Barclay,The Crooked Man
10,Major Murphy,The Crooked Man
11,Mrs Barclay,The Crooked Man
12,Miss Morrison,The Crooked Man
13,Jane Stewart,The Crooked Man
14,Colonel,The Crooked Man
15,his wife,The Crooked Man
16,the coachman,The Crooked Man
17,James (Colonel),The Crooked Man
18,I,The Crooked Man
19,David,The Crooked Man
20,Henry,The Crooked Man
21,Nancy,The Crooked Man
22,Henry Wood,The Crooked Man
23,Simpson,The Crooked Man
24,Mr. Henry Wood,The Crooked Man
25,Colonel James Barclay,The Crooked Man
26,Nancy Devoy,The Crooked Man
27,Corporal Henry Wood,The Crooked Man
28,Neill,The Crooked Man
29,Bhurtee,The Crooked Man
30,Harry Wood,The Crooked Man
31,Teddy,The Crooked Man
32,James,The Crooked Man
33,Sergeant James Barclay,The Crooked Man
34,Uriah,The Crooked Man
35,Bathsheba,The Crooked Man
