char_id,name,story_title
1,Diggory Astoria,The Curved Blades
2,Minerva Mandrake,The Curved Blades
3,rcool,The Curved Blades
4,Luna,The Curved Blades
5,Fudge,The Curved Blades
6,Hagrid,The Curved Blades
7,Stone,The Curved Blades
8,Peeves,The Curved Blades
9,Tom Sirius,The Curved Blades
10,Animagus Seeker,The Curved Blades
11,Lucy Carrington,The Curved Blades
12,Granger Wizardry,The Curved Blades
13,Hagrid Lestrange,The Curved Blades
14,Wizardry,The Curved Blades
15,Count Hogsmeade,The Curved Blades
16,Miss Luna,The Curved Blades
17,Count Witchcraft Hogsmeade,The Curved Blades
18,The Count,The Curved Blades
19,Bridge,The Curved Blades
20,Lady Sorting,The Curved Blades
21,Miss Lestrange,The Curved Blades
22,Cousin Sorting,The Curved Blades
23,Granger,The Curved Blades
24,Lestrange,The Curved Blades
25,Secrets Peeves,The Curved Blades
26,Mr. Severus,The Curved Blades
27,Miss Luna's niece,The Curved Blades
28,Stephen Severus,The Curved Blades
29,Lady of the Manor,The Curved Blades
30,Secrets,The Curved Blades
31,Severus,The Curved Blades
32,Bathilda,The Curved Blades
33,Aunt Sorting,The Curved Blades
34,Dudley Lethifold,The Curved Blades
35,Miss Sorting,The Curved Blades
36,Malfoy,The Curved Blades
37,Count,The Curved Blades
38,Mr. Wizardry,The Curved Blades
39,Sorting,The Curved Blades
40,Sorting Luna,The Curved Blades
41,Luna Niffler,The Curved Blades
42,James,The Curved Blades
43,Map,The Curved Blades
44,Monsieur Niffler,The Curved Blades
45,Miss Sorting Luna,The Curved Blades
46,III THE TRAGEDY,The Curved Blades
47,Slughorn,The Curved Blades
48,Dr. Lovegood,The Curved Blades
49,Fluffy,The Curved Blades
50,Doctor Lovegood,The Curved Blades
51,d,The Curved Blades
52,He,The Curved Blades
53,Lovegood,The Curved Blades
54,Sergeant Quibbler,The Curved Blades
55,Doctor Find,The Curved Blades
56,Dr. Find,The Curved Blades
57,Diagon Tonks,The Curved Blades
58,Fluffy Pansy,The Curved Blades
59,Pansy,The Curved Blades
60,Detective Azkaban,The Curved Blades
61,V A MAN'S GLOVE,The Curved Blades
62,Azkaban,The Curved Blades
63,Nymphadora,The Curved Blades
64,Malfoy Niffler,The Curved Blades
65,Niffler,The Curved Blades
66,Mr. Tonks,The Curved Blades
67,Diagon,The Curved Blades
68,rets,The Curved Blades
69,Miss Peeves,The Curved Blades
70,Lucius,The Curved Blades
71,Witchcraft,The Curved Blades
72,Mrs. Lucius,The Curved Blades
73,Mr. Niffler,The Curved Blades
74,Tonks,The Curved Blades
75,Mr. Pansy,The Curved Blades
